curated_name,bsnpr_id,canonical_name,career_span,verdict,confidence,flag,evidence
A.D. Vassallo,2517,"Vassallo Colon, Angel D.",2009-2017,auto,7,given-name mismatch,"swapped initial == alias | surname+initial (vassallo,a) | decades overlap span 2009-2017 | club overlap"
Butch Lee,59,"Lee Porter, Alfred",,auto,10,given-name mismatch,birth year 1956 | swapped name == alias | nickname 'butch'
Larry Ayuso,574,"Ayuso Carrillo, Elias",1996-2017,auto,7,given-name mismatch,swapped name == alias | decades overlap span 1996-2017 | club overlap
Mike Rosario,2859,"Rosario, Michael",2013-2017,auto,8,given-name mismatch,"swapped name == alias | surname+initial (rosario,m) | decades overlap span 2013-2017 | club overlap"
Al Thornton,2740,"Thornton, Al",2012-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (thornton,a) | decades overlap span 2012-2017 | club overlap"
Alade Aminu,13308,"Aminu, Alade",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (aminu,a)"
Aleem Ford,13305,"Ford, Aleem",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (ford,a)"
Alejandro Carmona Sanchez,37,"Carmona Sanchez, Alejandro",2001-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (sanchez,a) | decades overlap span 2001-2017 | club overlap"
Alex Abreu,12998,"Abreu Vazquez, Alex",2015-2017,auto,6,,"swapped name == alias | surname+initial (abreu,a) | scoring years 2016-2016 in span 2015-2017 | club MISMATCH ['osos_manati'] vs ['maratonistas_coamo', 'santeros_aguada']"
Alex Galindo,42,"Galindo Rodríguez, Alex",2002-2019,auto,8,,"swapped name == alias | surname+initial (galindo,a) | decades overlap span 2002-2019 | club overlap"
Angel Matias,105,"Matias, Angel",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (matias,a)"
Angel Nunez,13285,"Nuñez, Angel",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (nunez,a)"
Antonio Ralat,13292,"Ralat, Antonio",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (ralat,a)"
Ben McCauley,13253,"McCauley, Ben",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (mccauley,b)"
Brandon Boyd,13283,"Boyd, Brandon",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (boyd,b)"
Brandon Costner,13045,"Costner, Brandon",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (costner,b)"
Brian Conklin,12989,"Conklin, Brian",2015-2016,auto,12,,"curated name == alias | swapped name == alias | surname+initial (conklin,b) | decades overlap span 2015-2016 | club overlap"
Cady Lalanne,13106,"Lalanne, Cady",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (lalanne,c)"
Carlos Arroyo,273,"Arroyo Bermúdez, Carlos A.",1996-2017,auto,9,,"swapped name == alias | surname+initial (arroyo,c) | scoring years 2018-2018 in span 1996-2017 | club overlap"
Chane Behanan,13089,"Behanan, Chane",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (behanan,c)"
Chris Brady,13173,"Brady, Chris",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (brady,c)"
Chris Gaston,2821,"Gaston, Chris",2013-2017,auto,8,,"curated name == alias | swapped name == alias | surname+initial (gaston,c) | decades [2020] DISJOINT from span 2013-2017 | club overlap"
Chris McCullough,13237,"McCullough, Chris",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (mccullough,c)"
Christian Dalmau,382,"Dalmau Santana, Christian",1992-2017,auto,10,,"swapped name == alias | in player_id_map | surname+initial (dalmau,c) | decades overlap span 1992-2017 | club overlap"
Christian Lopez Santiago,13085,"Lopez Santiago, Christian",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (santiago,c)"
Christopher Ortiz,390,"Ortiz, Christopher",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (ortiz,c)"
Damien Wilkins,12928,"Wilkins, Damien",2014-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (wilkins,d) | decades overlap span 2014-2017 | club overlap"
Damion James,13046,"James, Damion",2016-2017,auto,13,,"curated name == alias | swapped name == alias | surname+initial (james,d) | scoring years 2016-2016 in span 2016-2017 | club overlap"
Darnell Hinson,2465,"Hinson Gaines, Darnell",2008-2017,auto,6,,"swapped name == alias | surname+initial (hinson,d) | scoring years 2009-2009 in span 2008-2017 | club MISMATCH ['caciques_humacao', 'grises_humacao'] vs ['brujos_guayama', 'gallitos_isabela', 'vaqueros_bayamon']"
David Huertas,451,"Huertas, David",2002-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (huertas,d) | decades overlap span 2002-2017 | club overlap"
David Laury,13130,"Laury, David",2017-2017,auto,12,,"curated name == alias | swapped name == alias | surname+initial (laury,d) | decades overlap span 2017-2017 | club overlap"
David Stockton,13286,"Stockton, David",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (stockton,d)"
Devin Williams,13161,"Williams, Devin",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (williams,d)"
E.J. Crawford,13276,"Crawford, E.J.",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (crawford,e)"
Eric Dawson,13033,"Dawson, Eric",2017-2017,auto,11,,"curated name == alias | swapped name == alias | surname+initial (dawson,e) | scoring years 2017-2017 in span 2017-2017"
Frank Gaines,13017,"Gaines, Frank",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (gaines,f)"
Gary Browne,13027,"Browne Ramirez, Gary",2015-2017,auto,6,,"swapped name == alias | surname+initial (browne,g) | scoring years 2017-2017 in span 2015-2017 | club MISMATCH ['piratas_quebradillas', 'vaqueros_bayamon'] vs ['atleticos_san_german', 'maratonistas_coamo']"
Georgie Torres,,,,rejected,,wrong person,"id 788 is Torres Dougherty, George (b.1957, enciclopedia.asp single-source, 0 career rows) - a different real player; surname mismatch (Torres Dougherty != Torres), not corroborated. Real Georgie Torres (BSN all-time scoring leader, 1975-2001, 15863 pts/679 gp) not found in players_canonical.csv - checked every apellidos='Torres' row plus every Torres-surname compound (231,459,480,490,501,700,786,788,789,790,913,1061,1101,1213,1439,1456,1457,1516,1519,1668,1780,2073,12947,13254,13259) and every career-points total >10000 in player_career_seasons.csv - no candidate matches the known career span/totals. Archive gap, not a bug: leave unlinked, no bsnpr_id until real corroboration surfaces."
Gian Clavell,13117,"Clavell, Gian",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (clavell,g)"
Gilberto Clavell,2701,"Clavell, Gilberto",2011-2017,auto,8,,"curated name == alias | swapped name == alias | surname+initial (clavell,g) | decades [2020] DISJOINT from span 2011-2017 | club overlap"
Hiram Huertas,13251,"Huertas, Hiram",,auto,8,,"curated name == alias | swapped name == alias | surname+initial (huertas,h)"
Héctor Blondet,872,"Blondet Texidor, Hector",1970-1983,auto,9,,"swapped name == alias | surname+initial (blondet,h) | scoring years 1974-1974 in span 1970-1983 | club overlap"
