category,rank,player,position,nationality,years,total,games_played,per_game
points,1,Georgie Torres,SG,Puerto Rico,1975-2001,15863,679,23.4
points,2,Mario Morales,SF,Puerto Rico,1975-1998,15293,675,22.7
points,3,Mario Butler,C,Panama,1980-2008,12252,779,15.7
points,4,Rolando Frazer,C,Panama,1980-2001,12096,603,20.1
points,5,Raymond Dalmau,PG,Puerto Rico,1966-1985,11592,537,21.6
points,6,Ruben Rodriguez,PF,Puerto Rico,1969-1991,11549,631,18.3
points,7,Roberto Rios,PG,Puerto Rico,1978-2000,11312,681,16.6
points,8,Angel Santiago,SF,Puerto Rico,1973-1996,11287,617,18.3
points,9,Jose Quinones,PF,Puerto Rico,1976-1995,11012,579,19.0
points,10,Christian Dalmau,PG,Puerto Rico,"1992-2003, 2009-2017",10570,639,16.5
rebounds,1,Mario Butler,C,,1980-2008,8236,779,10.6
rebounds,2,Ruben Rodriguez,F/C,,1969-1991,6178,631,9.8
rebounds,3,Rolando Frazer,C,,1980-2001,6153,603,10.2
rebounds,4,Raymond Dalmau,F/C,,1966-1985,5673,537,10.6
rebounds,5,Mario Morales,G/F,,1975-1998,5665,675,8.4
rebounds,6,Jose Ortiz,C,,1980-2006,5314,505,10.5
rebounds,7,Carlos Bermudez,F,,1970-1984,4884,422,11.6
rebounds,8,Edgar de Leon,F/C,,1981-2001,4837,493,9.8
rebounds,9,Teofilo Cruz,C,,1957-1982,4672,584,8.0
rebounds,10,Angel Santiago,F,,1973-1996,4447,617,7.2
assists,1,James Carter,PG,,1987-2006,3025,543,5.6
assists,2,Christian Dalmau,PG/SG,,"1992-2003, 2009-2017",2931,639,4.6
assists,3,Pablo Alicea,PG,,1987-2006,2762,503,5.5
assists,4,Javier Antonio Colon,PG,,1987-2008,2748,555,5.0
assists,5,Federico Lopez,PG,,1981-1997,2440,446,5.5
assists,6,Wilfredo Pagan,PG,,1992-2018,2367,652,3.6
assists,7,Roberto Rios,G/F,,1978-2000,2315,681,3.4
assists,8,Raymond Dalmau,F/C,,1966-1985,2302,537,5.1
assists,9,Bobby Joe Hatton,PG,,1994-2012,2235,489,4.6
assists,10,Georgie Torres,G/F,,1975-2001,2203,679,3.2
