season,champion,runner_up,confidence,notes,source
1930,Capitalinos de San Juan,Vaqueros de Bayamon,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1931,Capitalinos de San Juan,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1932,Atleticos de San German,Capitanes de Arecibo,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1933,Vaqueros de Bayamon,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1934,Vega Baja,Vaqueros de Bayamon,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1935,Vaqueros de Bayamon,Vega Baja,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1936,Club Nautico de San Juan,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1937,Vega Baja,Piratas de Quebradillas,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1938,Atleticos de San German,,incomplete,MISSING runner-up,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1939,Atleticos de San German,Vega Baja,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1940,Capitalinos de San Juan,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1941,Atleticos de San German,Cardenales de Rio Piedras,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1942,Atleticos de San German,Cangrejeros de Santurce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1943,Cocoteros de Tortuguero,Capitalinos de San Juan,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1944,Gallitos de la UPR,Capitalinos de San Juan,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1945,Capitalinos de San Juan,Gallitos de la UPR,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1946,Cardenales de Rio Piedras,Capitanes de Arecibo,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1947,Atleticos de San German,Cardenales de Rio Piedras,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1948,Atleticos de San German,Capitanes de Arecibo,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1949,Atleticos de San German,Leones de Ponce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1950,Atleticos de San German,Capitalinos de San Juan,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1951,Gallitos de la UPR,Cangrejeros de Santurce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1952,Leones de Ponce,Cangrejeros de Santurce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1953,,,incomplete,MISSING champion; MISSING runner-up,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1954,Leones de Ponce,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1955,Cardenales de Rio Piedras,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1956,Cardenales de Rio Piedras,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1957,Cardenales de Rio Piedras,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1958,Capitalinos de San Juan,Leones de Ponce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1959,Capitanes de Arecibo,Cardenales de Rio Piedras,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1960,Leones de Ponce,Cardenales de Rio Piedras,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1961,Leones de Ponce,Capitanes de Arecibo,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1962,Cangrejeros de Santurce,Cardenales de Rio Piedras,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1963,Cardenales de Rio Piedras,Leones de Ponce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1964,Leones de Ponce,Cangrejeros de Santurce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1965,Leones de Ponce,Atleticos de San German,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1966,Leones de Ponce,Capitanes de Arecibo,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
1967,Vaqueros de Bayamon,Leones de Ponce,single-source,,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
