franchise,city,founded,status,titles
Atleticos de San German,San German,1930,active,14
Cangrejeros de Santurce,Santurce,1918,active,8
Capitanes de Arecibo,Arecibo,1946,active,8
Criollos de Caguas,Caguas,1976,active,2
Santeros de Aguada,Aguada,1992,active,1
Gigantes de Carolina,Carolina,1971,active,1
Indios de Mayaguez,Mayaguez,1956,active,1
Leones de Ponce,Ponce,1946,active,14
Mets de Guaynabo,Guaynabo,1935,active,3
Osos de Manati,Manati,2014,active,0
Piratas de Quebradillas,Quebradillas,1926,active,6
Vaqueros de Bayamon,Bayamon,1930,active,17
Atenienses de Manati,Manati,2014,defunct 2017,0
Avancinos de Villalba,Villalba,1996,defunct 1998,0
Cardenales de Rio Piedras,Rio Piedras,1940,defunct 1985,6
Cariduros de Fajardo,Fajardo,1973,defunct 2023,0
Conquistadores de Aguada,Aguada,1994,defunct 1998,0
Gallitos de Isabela,Isabela,1969,defunct 2005,0
Grises de Humacao,Humacao,2005,defunct 2023,0
Indios de Canovanas,Canovanas,1980,defunct 1996,2
Maratonistas de Coamo,Coamo,1985,defunct 2015,0
Polluelos de Aibonito,Aibonito,1977,defunct 2001,1
Tainos de Cabo Rojo,Cabo Rojo,1989,defunct 1993,0
Tiburones de Aguadilla,Aguadilla,1990,defunct 1998,0
Titanes de Morovis,Morovis,1977,defunct 2006,1
Toritos de Cayey,Cayey,2002,defunct 2004,0
Capitalinos de San Juan,San Juan,1930,defunct 1998,5
Brujos de Guayama,Guayama,1971,relocated 2022 -> Osos de Manati,0
