record,holder,value,season,notes
"Most points, career",Georgie Torres,15863,,retired 2001; 679 games
"Most rebounds, career",Ruben Rodriguez,6178,,631 games
"Most points, single game",Neftali Rivera,79,1974,"May 22, 1974; 34 FG (all 2s, no 3pt line) + 11 FT"
"Most assists, single game",Jonathan Garcia,33,2012,"May 1, 2012; Caciques de Humacao vs Brujos de Guayama; broke Pablo Alicea's 25 (1989)"
"Most points, single season",Ruben Rodriguez,810,1978,
"Most rebounds, single season",Ruben Rodriguez,380,1978,broken by Lee Benson in 2008
"Most team points, single game",Caciques de Humacao,130,2012,
"Most team points, one quarter",Caciques de Humacao,46,2012,10-minute quarter
Highest attendance,Vaqueros de Bayamon vs Rio Piedras,17621,1969,"Sept 8, 1969"
"Most wins, single season",Vaqueros de Bayamon,29,1993,
Most consecutive championships,Vaqueros de Bayamon,5,1975,1971-1975
