season,agreement,champion_franchise_id,runner_up_franchise_id,seed_champion,seed_runner_up,bsnpr_champion_city,bsnpr_runner_up_city,coach,note,confidence,sources
1930,agree,capitalinos_san_juan,vaqueros_bayamon,Capitalinos de San Juan,Vaqueros de Bayamon,SAN JUAN,BAYAMON,MANUEL IGLESIA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1931,agree,capitalinos_san_juan,atleticos_san_german,Capitalinos de San Juan,Atleticos de San German,SAN JUAN,SAN GERMAN,MANUEL IGLESIA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1932,agree,atleticos_san_german,capitanes_arecibo,Atleticos de San German,Capitanes de Arecibo,SAN GERMAN,ARECIBO,UBLADINO RAMIREZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1933,agree,vaqueros_bayamon,atleticos_san_german,Vaqueros de Bayamon,Atleticos de San German,BAYAMON,SAN GERMAN,ONOFRE CARBALLEIRA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1934,agree,vega_baja,vaqueros_bayamon,Vega Baja,Vaqueros de Bayamon,VEGA BAJA,BAYAMON,RODRIGO OTERO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1935,agree,vaqueros_bayamon,vega_baja,Vaqueros de Bayamon,Vega Baja,BAYAMON,VEGA BAJA,ONOFRE CARBALLEIRA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1936,conflict,,atleticos_san_german,Club Nautico de San Juan,Atleticos de San German,SAN JUAN,FCLA. MARTIN,RODRIGO OTERO,"runner-up city unmapped club 'Fcla. Martin' (1930s runner-up); champion: seed says Club Nautico de San Juan, not Capitalinos — conflict; champion: seed=Club Nautico de San Juan vs bsnpr city=SAN JUAN",disputed,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1937,agree,vega_baja,piratas_quebradillas,Vega Baja,Piratas de Quebradillas,VEGA BAJA,QUEBRADILLAS,RODRIGO OTERO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1938,agree,atleticos_san_german,,Atleticos de San German,,SAN GERMAN,FCLA.MARTIN,UBALDINO RAMIREZ,runner-up city unmapped club 'Fcla. Martin' (1930s runner-up),verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1939,agree,atleticos_san_german,vega_baja,Atleticos de San German,Vega Baja,SAN GERMAN,VEGA BAJA,FELICIO TORREGROSA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1940,agree,capitalinos_san_juan,atleticos_san_german,Capitalinos de San Juan,Atleticos de San German,SAN JUAN,SAN GERMAN,ADOLFO PORRATA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1941,agree,atleticos_san_german,cardenales_rio_piedras,Atleticos de San German,Cardenales de Rio Piedras,SAN GERMAN,RIO PIEDRAS,RAUL GONZALEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1942,agree,atleticos_san_german,cangrejeros_santurce,Atleticos de San German,Cangrejeros de Santurce,SAN GERMAN,SANTURCE,ARMANDO TORRES,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1942-1943,bsnpr_only,atleticos_san_german,cangrejeros_santurce,,,SAN GERMAN,SANTURCE,ARMANDO TORRES,D3: split-season key — the seed folds this into 1942,single-source,wayback:bsnpr.com/estadisticas/campeonatos.asp
1943,agree,cocoteros_tortuguero,capitalinos_san_juan,Cocoteros de Tortuguero,Capitalinos de San Juan,TORTUGUERO,SAN JUAN,ARQUELIO TORRES,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1944,agree,gallitos_upr,capitalinos_san_juan,Gallitos de la UPR,Capitalinos de San Juan,UPR,SAN JUAN,FELICIO TORREGROSA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1945,conflict,,gallitos_upr,Capitalinos de San Juan,Gallitos de la UPR,SAN JUAN,UPR,ADOLFO PORRATA,"champion: D5: EN-wiki=Capitalinos, ES-wiki=Santos de San Juan; bsnpr city only",disputed,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1946,agree,cardenales_rio_piedras,capitanes_arecibo,Cardenales de Rio Piedras,Capitanes de Arecibo,RIO PIEDRAS,ARECIBO,RAMON CESTERO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1947,agree,atleticos_san_german,cardenales_rio_piedras,Atleticos de San German,Cardenales de Rio Piedras,SAN GERMAN,RIO PIEDRAS,ARMANDO TORRES,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1948,agree,atleticos_san_german,capitanes_arecibo,Atleticos de San German,Capitanes de Arecibo,SAN GERMAN,ARECIBO,VICTOR MURATI,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1949,agree,atleticos_san_german,leones_ponce,Atleticos de San German,Leones de Ponce,SAN GERMAN,PONCE,RAUL GONZALEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1950,agree,atleticos_san_german,capitalinos_san_juan,Atleticos de San German,Capitalinos de San Juan,SAN GERMAN,SAN JUAN,LUIS F. SAMBOLIN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1951,agree,gallitos_upr,cangrejeros_santurce,Gallitos de la UPR,Cangrejeros de Santurce,UPR,SANTURCE,VICTOR M. PEREZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1952,agree,leones_ponce,cangrejeros_santurce,Leones de Ponce,Cangrejeros de Santurce,PONCE,SANTURCE,TEX WINTERS,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1953,no_champion,,,,,,,,NO SE TERMINÓ (PONCE VS SAN GERMAN),single-source,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1954,agree,leones_ponce,atleticos_san_german,Leones de Ponce,Atleticos de San German,PONCE,SAN GERMAN,TEX WINTERS,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1955,agree,cardenales_rio_piedras,atleticos_san_german,Cardenales de Rio Piedras,Atleticos de San German,RIO PIEDRAS,SAN GERMAN,VICTOR M. PEREZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1956,agree,cardenales_rio_piedras,atleticos_san_german,Cardenales de Rio Piedras,Atleticos de San German,RIO PIEDRAS,SAN GERMAN,VICTOR M. PEREZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1957,agree,cardenales_rio_piedras,atleticos_san_german,Cardenales de Rio Piedras,Atleticos de San German,RIO PIEDRAS,SAN GERMAN,VICTOR M.PEREZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1958,agree,capitalinos_san_juan,leones_ponce,Capitalinos de San Juan,Leones de Ponce,SAN JUAN,PONCE,FLOYD BROWN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1959,agree,capitanes_arecibo,cardenales_rio_piedras,Capitanes de Arecibo,Cardenales de Rio Piedras,ARECIBO,RIO PIEDRAS,LOU ROSSINI,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1960,agree,leones_ponce,cardenales_rio_piedras,Leones de Ponce,Cardenales de Rio Piedras,PONCE,RIO PIEDRAS,HOWARD SHAMON,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1961,agree,leones_ponce,capitanes_arecibo,Leones de Ponce,Capitanes de Arecibo,PONCE,ARECIBO,JACK McKENNEY,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1962,agree,cangrejeros_santurce,cardenales_rio_piedras,Cangrejeros de Santurce,Cardenales de Rio Piedras,SANTURCE,RIO PIEDRAS,FUFI SANTORI,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1963,agree,cardenales_rio_piedras,leones_ponce,Cardenales de Rio Piedras,Leones de Ponce,RIO PIEDRAS,PONCE,LOU ROSSINI,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1964,agree,leones_ponce,cangrejeros_santurce,Leones de Ponce,Cangrejeros de Santurce,PONCE,SANTURCE,RED HOLZMAN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1965,agree,leones_ponce,atleticos_san_german,Leones de Ponce,Atleticos de San German,PONCE,SAN GERMAN,RED HOLZMAN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1966,agree,leones_ponce,capitanes_arecibo,Leones de Ponce,Capitanes de Arecibo,PONCE,ARECIBO,RED HOLZMAN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1967,agree,vaqueros_bayamon,leones_ponce,Vaqueros de Bayamon,Leones de Ponce,BAYAMON,PONCE,ROY RUBBINS FUFI SANTORI  [multi?],,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1968,conflict,cangrejeros_santurce,,Cangrejeros de Santurce,Cardenales de Rio Piedras,SANTURCE,PONCE,LOU ROSSINI,runner-up: seed=Cardenales de Rio Piedras vs bsnpr city=PONCE,disputed,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1969,agree,vaqueros_bayamon,cardenales_rio_piedras,Vaqueros de Bayamon,Cardenales de Rio Piedras,BAYAMON,RIO PIEDRAS,ART LOCHE,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1970,agree,piratas_quebradillas,vaqueros_bayamon,Piratas de Quebradillas,Vaqueros de Bayamon,QUEBRADILLAS,BAYAMON,ERICK GELDART,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1971,agree,vaqueros_bayamon,cardenales_rio_piedras,Vaqueros de Bayamon,Cardenales de Rio Piedras,BAYAMON,RIO PIEDRAS,ART LOCHE,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1972,agree,vaqueros_bayamon,piratas_quebradillas,Vaqueros de Bayamon,Piratas de Quebradillas,BAYAMON,QUEBRADILLAS,TOM NISSALKE FUFI SANTORI  [multi?],,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1973,agree,vaqueros_bayamon,piratas_quebradillas,Vaqueros de Bayamon,Piratas de Quebradillas,BAYAMON,QUEBRADILLAS,DEL HARRIS,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1974,agree,vaqueros_bayamon,capitalinos_san_juan,Vaqueros de Bayamon,Capitalinos de San Juan,BAYAMON,SAN JUAN,DEL HARRIS,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1975,agree,vaqueros_bayamon,piratas_quebradillas,Vaqueros de Bayamon,Piratas de Quebradillas,BAYAMON,QUEBRADILLAS,DEL HARRIS TOM NISSALKE  [multi?],,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1976,agree,cardenales_rio_piedras,piratas_quebradillas,Cardenales de Rio Piedras,Piratas de Quebradillas,RIO PIEDRAS,QUEBRADILLAS,BERNIE BICKERSTAFF,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1977,agree,piratas_quebradillas,cardenales_rio_piedras,Piratas de Quebradillas,Cardenales de Rio Piedras,QUEBRADILLAS,RIO PIEDRAS,RAY AMALBERT,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1978,agree,piratas_quebradillas,mets_guaynabo,Piratas de Quebradillas,Mets de Guaynabo,QUEBRADILLAS,GUAYNABO,RAY AMALBERT,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1979,agree,piratas_quebradillas,gigantes_carolina,Piratas de Quebradillas,Gigantes de Carolina,QUEBRADILLAS,CAROLINA,RAY AMALBERT,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1980,agree,mets_guaynabo,piratas_quebradillas,Mets de Guaynabo,Piratas de Quebradillas,GUAYNABO,QUEBRADILLAS,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1981,agree,vaqueros_bayamon,mets_guaynabo,Vaqueros de Bayamon,Mets de Guaynabo,BAYAMON,GUAYNABO,GENE BARTOW ROBERT CORN  [multi?],,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1982,agree,mets_guaynabo,piratas_quebradillas,Mets de Guaynabo,Piratas de Quebradillas,GUAYNABO,QUEBRADILLAS,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1983,agree,indios_canovanas,mets_guaynabo,Indios de Canovanas,Mets de Guaynabo,CANOVANAS,GUAYNABO,HERB BROWN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1984,agree,indios_canovanas,gallitos_isabela,Indios de Canovanas,Gallitos de Isabela,CANOVANAS,ISABELA,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1985,agree,atleticos_san_german,mets_guaynabo,Atleticos de San German,Mets de Guaynabo,SAN GERMAN,GUAYNABO,FLOR MELENDEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1986,agree,polluelos_aibonito,atleticos_san_german,Polluelos de Aibonito,Atleticos de San German,AIBONITO,SAN GERMAN,CHARLIE BERMUDEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1987,agree,titanes_morovis,polluelos_aibonito,Titanes de Morovis,Polluelos de Aibonito,MOROVIS,AIBONITO,MIGUEL MERCADO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1988,agree,vaqueros_bayamon,indios_canovanas,Vaqueros de Bayamon,Indios de Canovanas,BAYAMON,CANOVANAS,ROBERT CORN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1989,agree,mets_guaynabo,leones_ponce,Mets de Guaynabo,Leones de Ponce,GUAYNABO,PONCE,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1990,agree,leones_ponce,mets_guaynabo,Leones de Ponce,Mets de Guaynabo,PONCE,GUAYNABO,MIGUEL MERCADO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1991,agree,atleticos_san_german,brujos_guayama,Atleticos de San German,Brujos de Guayama,SAN GERMAN,GUAYAMA,CARLOS MORALES,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1992,agree,leones_ponce,capitanes_arecibo,Leones de Ponce,Capitanes de Arecibo,PONCE,ARECIBO,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1993,agree,leones_ponce,mets_guaynabo,Leones de Ponce,Mets de Guaynabo,PONCE,GUAYNABO,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1994,agree,atleticos_san_german,brujos_guayama,Atleticos de San German,Brujos de Guayama,SAN GERMAN,GUAYAMA,CARLOS MORALES,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1995,agree,vaqueros_bayamon,leones_ponce,Vaqueros de Bayamon,Leones de Ponce,BAYAMON,PONCE,FLOR MELENDEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1996,agree,vaqueros_bayamon,leones_ponce,Vaqueros de Bayamon,Leones de Ponce,BAYAMON,PONCE,FLOR MELENDEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1997,agree,atleticos_san_german,gigantes_carolina,Atleticos de San German,Gigantes de Carolina,SAN GERMAN,CAROLINA,MIGUEL MERCADO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1998,agree,cangrejeros_santurce,leones_ponce,Cangrejeros de Santurce,Leones de Ponce,SANTURCE,PONCE,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
1999,agree,cangrejeros_santurce,piratas_quebradillas,Cangrejeros de Santurce,Piratas de Quebradillas,SANTURCE,QUEBRADILLAS,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2000,agree,cangrejeros_santurce,piratas_quebradillas,Cangrejeros de Santurce,Piratas de Quebradillas,SANTURCE,QUEBRADILLAS,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2001,agree,cangrejeros_santurce,vaqueros_bayamon,Cangrejeros de Santurce,Vaqueros de Bayamon,SANTURCE,BAYAMON,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2002,agree,leones_ponce,vaqueros_bayamon,Leones de Ponce,Vaqueros de Bayamon,PONCE,BAYAMON,CARLOS MARIO RIVERA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2003,agree,cangrejeros_santurce,leones_ponce,Cangrejeros de Santurce,Leones de Ponce,SANTURCE,PONCE,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2004,agree,leones_ponce,maratonistas_coamo,Leones de Ponce,Maratonistas de Coamo,PONCE,COAMO,MANOLO CINTRON,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2005,agree,capitanes_arecibo,vaqueros_bayamon,Capitanes de Arecibo,Vaqueros de Bayamon,ARECIBO,BAYAMON,CARLOS MARIO RIVERA,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2006,agree,criollos_caguas,cangrejeros_santurce,Criollos de Caguas,Cangrejeros de Santurce,CAGUAS,SANTURCE,LEONEL ARILL,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2007,agree,cangrejeros_santurce,capitanes_arecibo,Cangrejeros de Santurce,Capitanes de Arecibo,SANTURCE,ARECIBO,TONY RUIZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2008,agree,capitanes_arecibo,gigantes_carolina,Capitanes de Arecibo,Gigantes de Carolina,ARECIBO,CAROLINA,DAVID ROSARIO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2009,agree,vaqueros_bayamon,piratas_quebradillas,Vaqueros de Bayamon,Piratas de Quebradillas,BAYAMON,QUEBRADILLAS,JULIO TORO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2010,agree,capitanes_arecibo,vaqueros_bayamon,Capitanes de Arecibo,Vaqueros de Bayamon,ARECIBO,BAYAMON,DAVID ROSARIO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2011,agree,capitanes_arecibo,piratas_quebradillas,Capitanes de Arecibo,Piratas de Quebradillas,ARECIBO,QUEBRADILLAS,DAVID ROSARIO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2012,agree,indios_mayaguez,capitanes_arecibo,Indios de Mayaguez,Capitanes de Arecibo,MAYAGUEZ,ARECIBO,EDDIE CASIANO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2013,agree,piratas_quebradillas,leones_ponce,Piratas de Quebradillas,Leones de Ponce,QUEBRADILLAS,PONCE,CARLOS CALCAÑO,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2014,agree,leones_ponce,capitanes_arecibo,Leones de Ponce,Capitanes de Arecibo,PONCE,ARECIBO,NELSON COLÓN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2015,agree,leones_ponce,capitanes_arecibo,Leones de Ponce,Capitanes de Arecibo,PONCE,ARECIBO,NELSON COLÓN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2016,agree,capitanes_arecibo,vaqueros_bayamon,Capitanes de Arecibo,Vaqueros de Bayamon,ARECIBO,BAYAMÓN,"RAFAEL ""PACHY"" CRUZ",,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2017,agree,piratas_quebradillas,capitanes_arecibo,Piratas de Quebradillas,Capitanes de Arecibo,QUEBRADILLAS,ARECIBO,CARLOS GONZÁLEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2018,agree,capitanes_arecibo,vaqueros_bayamon,Capitanes de Arecibo,Vaqueros de Bayamon,ARECIBO,BAYAMÓN,"RAFAEL ""PACHY"" CRUZ",,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2019,agree,santeros_aguada,leones_ponce,Santeros de Aguada,Leones de Ponce,AGUADA,PONCE,CARLOS GONZALEZ,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2020,agree,vaqueros_bayamon,piratas_quebradillas,Vaqueros de Bayamon,Piratas de Quebradillas,BAYAMÓN,QUEBRADILLAS,NELSON COLÓN,,verified,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional; wayback:bsnpr.com/estadisticas/campeonatos.asp
2021,seed_only,capitanes_arecibo,mets_guaynabo,Capitanes de Arecibo,Mets de Guaynabo,,,,bsnpr campeonatos.asp ends at 2020,single-source,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
2022,seed_only,vaqueros_bayamon,atleticos_san_german,Vaqueros de Bayamon,Atleticos de San German,,,,bsnpr campeonatos.asp ends at 2020,single-source,en.wikipedia.org/wiki/Baloncesto_Superior_Nacional
