code,franchise_id,scheme,flag
AI,polluelos_aibonito,equiposstat_t,
AIBON,polluelos_aibonito,lideres200x_5char,
AR,capitanes_arecibo,equiposstat_t,
ARECI,capitanes_arecibo,lideres200x_5char,
BA,vaqueros_bayamon,equiposstat_t,
BAYAM,vaqueros_bayamon,lideres200x_5char,
CA,criollos_caguas,equiposstat_t,ambiguous — verify
CAGUA,criollos_caguas,lideres200x_5char,
CAROL,gigantes_carolina,lideres200x_5char,
CAYEY,toritos_cayey,lideres200x_5char,
CN,gigantes_carolina,equiposstat_t,
CO,maratonistas_coamo,equiposstat_t,ambiguous — verify
COAMO,maratonistas_coamo,lideres200x_5char,
CY,toritos_cayey,equiposstat_t,
FAJAR,cariduros_fajardo,lideres200x_5char,
GU,brujos_guayama,equiposstat_t,
GUAYA,brujos_guayama,lideres200x_5char,
IS,gallitos_isabela,equiposstat_t,
ISABE,gallitos_isabela,lideres200x_5char,
MA,indios_mayaguez,equiposstat_t,
MAYAG,indios_mayaguez,lideres200x_5char,
MO,titanes_morovis,equiposstat_t,
MOROV,titanes_morovis,lideres200x_5char,
PO,leones_ponce,equiposstat_t,
PONCE,leones_ponce,lideres200x_5char,
QUEBR,piratas_quebradillas,lideres200x_5char,
SA,cangrejeros_santurce,equiposstat_t,
SAN G,atleticos_san_german,lideres200x_5char,
SANTU,cangrejeros_santurce,lideres200x_5char,
