game_id,season,date,team_raw,jersey,player_raw,bsnpr_id,minutes,fg2m,fg2a,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,pf,tov,pts,box_check,confidence,source_id,source_url,retrieved_at
BS21001,2001,2001-05-16,BAYAMON,0,"Richard, Jaja",,32,6,9,0,0,3,7,4,2,6,1,2,2,3,3,15,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,12,"Padilla, Edgar",,22,3,4,1,3,0,1,0,2,2,1,1,0,4,2,9,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,15,"Latimer, Antonio",193,26,3,11,0,2,3,4,1,5,6,2,0,0,0,1,9,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,17,"Mincy, Jerome",1032,20,4,8,0,1,4,6,0,3,3,0,0,0,4,2,12,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,32,"Santiago, Eddin",502,18,2,3,0,0,0,0,0,1,1,1,0,0,1,1,4,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,4,"Western, Franklyn",,35,4,10,0,0,3,4,2,5,7,1,2,0,0,1,11,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,5,"Ortiz, Reyes",,15,2,2,1,2,2,2,0,0,0,0,0,0,4,1,9,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,6,"Travieso, Carmelo",,25,4,5,1,6,0,0,1,4,5,1,1,0,3,6,11,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,BAYAMON,9,"Salgado, Gustavo",,7,1,3,0,0,0,0,2,0,2,1,1,1,0,0,2,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
BS21001,2001,2001-05-16,SANTURCE,1,"Lopez, Jose",,5,0,1,0,0,2,2,1,1,2,0,0,0,3,1,2,ok,single-source,wayback_bsnpr_games,https://web.archive.org/web/20011005142001id_/http://www.bsnpr.com:80/gamestatwide.asp?r=BS21001&grupo=,2026-09-08T15:37:09Z
