season,player_raw,team_raw,games,total_points,ppg,metric_era,note,confidence,source_id,source_url,retrieved_at,capture_date
1948,RAUL FELICIANO,UPR,20,497,24.8,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1949,RAUL FELICIANO,UPR,18,477,26.5,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1950,RAUL FELICIANO,UPR,18,428,23.8,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1951,RAUL FELICIANO,UPR,18,537,29.8,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1952,RAUL FELICIANO,UPR,16,425,26.6,total_points,* En algunos documentos aparece Raúl ‘Tinajón’ Feliciano como mejor anotador y en otros Fufi Santori.,disputed,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1952,FUFI SANTORI,UPR,16,453,28.3,total_points,* En algunos documentos aparece Raúl ‘Tinajón’ Feliciano como mejor anotador y en otros Fufi Santori.,disputed,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1953,RAUL FELICIANO,UPR,21,443,21.1,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1954,DOMINGO GONZALEZ,SAN JUAN,21,506,24.1,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1955,RAUL FELICIANO,RIO PIEDRAS,21,591,28.1,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1956,RAFAEL VALLE,SAN JUAN,24,693,28.5,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1957,JOHNNY BAEZ,RIO PIEDRAS,16,394,24.6,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1958,PACHIN VICENS,PONCE,18,337,18.7,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
1959,EVELIO DROZ,BAYAMON,21,407,19.4,total_points,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20040909163906id_/http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,2026-09-08T13:55:29Z,2004-09-09
