season,status,detail
1986,regular_season,
2007,regular_season,
2008,regular_season,
2009,regular_season,
2010,regular_season,
2011,playoff_only,only non-regular captures: Serie Final
2012,regular_season,
2013,regular_season,
2014,regular_season,
2015,not_archived,no lideres.asp capture with content
2016,not_archived,no lideres.asp capture with content
2017,playoff_only,"only non-regular captures: Cuartos de Final, Serie Final"
2018,regular_season,
2019,regular_season,
2020,regular_season,
2021,regular_season,
