bsnpr_id,alias,normalized_alias,alias_type,source
1,"Rivera, A.g.","rivera, ag",canonical,derived
1,"Rivera, A.g.","rivera, ag",enciclopedia,bsnpr
1,A.g. Rivera,ag rivera,given_family_order,derived
1,"Rivera, A.","rivera, a",initial,derived
1,"rivera, ag","rivera, ag",normalized,derived
1,"Rivera, A.g.","rivera, ag",paternal_surname,derived
2,"Calderon, A.l.","calderon, al",canonical,derived
2,"Calderon, A.l.","calderon, al",enciclopedia,bsnpr
2,A.l. Calderon,al calderon,given_family_order,derived
2,"Calderon, A.","calderon, a",initial,derived
2,"calderon, al","calderon, al",normalized,derived
2,"Calderon, A.l.","calderon, al",paternal_surname,derived
3,"Shamshid Deen, Abdul","shamshid deen, abdul",canonical,derived
3,"Shamshid Deen, Abdul","shamshid deen, abdul",enciclopedia,bsnpr
3,Abdul Shamshid Deen,abdul shamshid deen,given_family_order,derived
3,"Shamshid Deen, A.","shamshid deen, a",initial,derived
3,"Shamshid, A.","shamshid, a",initial,derived
3,"shamshid deen, abdul","shamshid deen, abdul",normalized,derived
3,"Shamshid Deen, Abdul","shamshid deen, abdul",paternal_surname,derived
3,"Shamshid, Abdul","shamshid, abdul",paternal_surname,derived
4,"Carmona Andino, Abel","carmona andino, abel",canonical,derived
4,"Carmona Andino, Abel","carmona andino, abel",enciclopedia,bsnpr
4,Abel Carmona Andino,abel carmona andino,given_family_order,derived
4,"Carmona Andino, A.","carmona andino, a",initial,derived
4,"Carmona, A.","carmona, a",initial,derived
4,"carmona andino, abel","carmona andino, abel",normalized,derived
4,"Carmona Andino, Abel","carmona andino, abel",paternal_surname,derived
4,"Carmona, Abel","carmona, abel",paternal_surname,derived
5,"Negron Torres, Abraham","negron torres, abraham",canonical,derived
5,"Negron Torres, Abraham","negron torres, abraham",enciclopedia,bsnpr
5,Abraham Negron Torres,abraham negron torres,given_family_order,derived
5,"Negron Torres, A.","negron torres, a",initial,derived
5,"Negron, A.","negron, a",initial,derived
5,"negron torres, abraham","negron torres, abraham",normalized,derived
5,"Negron Torres, Abraham","negron torres, abraham",paternal_surname,derived
5,"Negron, Abraham","negron, abraham",paternal_surname,derived
6,"Reyes, Abraham","reyes, abraham",canonical,derived
6,"Reyes, Abraham","reyes, abraham",enciclopedia,bsnpr
6,Abraham Reyes,abraham reyes,given_family_order,derived
6,"Reyes, A.","reyes, a",initial,derived
6,"reyes, abraham","reyes, abraham",normalized,derived
6,"Reyes, Abraham","reyes, abraham",paternal_surname,derived
