bsnpr_id,notes_es,birthplace,roster_team,roster_year,jersey,source_id,source_url,retrieved_at
4,,"Bayamon, Puerto Rico",COAMO,2005,09,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321232906id_/http://www.bsnpr.com:80/jugador05.asp?r2=FMJCFBIPED&e=COAMO,2026-09-10T03:18:55Z
24,"Cuenta con rapidez y un buen tiro a larga distancia, puede jugar de armador y escolta si es necesario.","Rio Piedras, Puerto Rico",SANTURCE,2006,10,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235725id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462786RX3B&e=SANTURCE,2026-09-10T03:27:14Z
37,"Uno de los mejores escoltas que sacará todas sus habilidades esta temporada. Jugador bien confiable en la ofensiva y tiene la estatura, rapidez y habilidades para establecerse como uno de los mejores. Cuenta con un buen tiro de afuera y una defensa excepcional.","Rio Piedras, Puerto Rico",Santurce,2005,,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322103409id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462736RX0S&e=,2026-09-10T03:12:40Z
49,,"Santurce, Puerto Rico",CAGUAS,2005,20,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064811id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462686RWYN&e=CAGUAS,2026-09-10T03:13:15Z
50,"Excelente jugador defensivo, puede jugar de alero, delantero fuerte y centro. Posee la fortaleza para recobrar el rebote importante y para anotar. Tiene un buen tiro a media distancia y puede irse a la zona de tres en confianza.","Rio Piedras, Puerto Rico",SANTURCE,2005,33,wayback_bsnpr_jugador05,https://web.archive.org/web/20050321232823id_/http://www.bsnpr.com:80/jugador05.asp?r2=462796RX3F&e=SANTURCE,2026-09-10T03:20:32Z
52,,"Mayaguez, Puerto Rico",QUEBRADILLAS,2006,17,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119234016id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462726RX0F&e=QUEBRADILLAS,2026-09-10T03:28:39Z
78,Uno de los mejores prospectos en la nación americana en los últimos dos años. Es un jugador bastante rápido y podría ser uno de los mejores delanteros pequeños en el mundo. Solamente necesita mejorar su tiro de tres.,República Dominicana,CAGUAS,2005,13,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414064503id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462716RX0B&e=CAGUAS,2026-09-10T03:12:52Z
79,,"Caguas, Puerto Rico",Santurce,2005,05,wayback_bsnpr_jugador05,https://web.archive.org/web/20050322231418id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=IQKNMRYDAC&e=,2026-09-10T03:14:21Z
87,Un armador completo y bien ofensivo. Cuenta con un buen manejo de balón y es rápido en penetraciones. Sus habilidades defensivas son muy buenas y en un futuro cercano puede ser una estrella del BSN. Graduado de la American University.,,CAGUAS,2006,10,wayback_bsnpr_jugador05,https://web.archive.org/web/20061119235132id_/http://www.bsnpr.com/jugador05.asp?r=xxx&r2=NXZNFEPSXU&e=CAGUAS,2026-09-10T03:28:20Z
93,"Galardonado como Novato del Año con los Titanes de Morovis en el 2003. Buenas habilidades ofensivas, bien explosivo y con excelentes habilidades defensivas.","Santo Domingo, Republica Dom.",ISABELA,2005,06,wayback_bsnpr_jugador05,https://web.archive.org/web/20050414065028id_/http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462746RX1G&e=ISABELA,2026-09-10T03:14:07Z
