obs_source,player_raw,club_raw,season,bsnpr_id,canonical_name,match_method,club_check,confidence
historic_scoring_champions.csv,CARLOS ESCALERA,COAMO,2003,284,"Escalera Gonzalez, Carlos",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,CHRISTIAN DALMAU,SAN GERMAN,2004,382,"Dalmau Santana, Christian",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,EDDIE CASIANO,SAN GERMAN,1996,498,"Casiano Ojeda, Eddie",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,EDDIE CASIANO,SAN GERMAN,1997,498,"Casiano Ojeda, Eddie",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,ELIAS AYUSO,SAN GERMAN,2002,574,"Ayuso Carrillo, Elias",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,NEFTALI RIVERA,QUEBRADILLAS,1969,1698,"Rivera Olivera, Neftali",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,NEFTALI RIVERA,QUEBRADILLAS,1973,1698,"Rivera Olivera, Neftali",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,ORLANDO VEGA,QUEBRADILLAS,1994,1759,"Vega Smith, Orlando",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,ORLANDO VEGA,QUEBRADILLAS,1998,1759,"Vega Smith, Orlando",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,RAYMOND DALMAU,QUEBRADILLAS,1968,1962,"Dalmau Perez, Raymond",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,RAYMOND DALMAU,QUEBRADILLAS,1970,1962,"Dalmau Perez, Raymond",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,RAYMOND DALMAU,QUEBRADILLAS,1974,1962,"Dalmau Perez, Raymond",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,RICHIE PIETRI,SAN GERMAN,1965,2024,"Pietri Villanueva, Richard",name+season_in_career,confirms,single-source
historic_scoring_champions.csv,SAMMY BETANCOURT,SAN JUAN,1972,2147,"Betancourt Fernandez, Samuel",name+season_in_career,contradicts,single-source
