bsnpr_id,season,franchise_id,jersey_number,height_cm,position_raw,name_raw,source_id,source_url,retrieved_at,confidence
37,2013,caciques_humacao,,194,G/F,Carmona Alejandro,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Caciques_de_Humacao/1901?Year=2013,20140504034205,single-source
37,2015,brujos_guayama,,194,G/F,Alejandro Carmona,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Brujos_de_Guayama/2634,20150421134809,single-source
37,2018,piratas_quebradillas,12,194,G/F,Alejandro Carmona,latinbasket,https://basketball.latinbasket.com/team/Puerto-Rico/Piratas-de-Quebradillas/20147,20181012123815,single-source
37,2019,piratas_quebradillas,12,194,G/F,Alejandro Carmona,latinbasket,https://basketball.latinbasket.com/team/Puerto-Rico/Piratas-de-Quebradillas/20147,20190721090530,single-source
74,2010,leones_ponce,28,186,G,Cruz Alvin,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Leones_de_Ponce/1954?Year=2010,20140122015859,single-source
74,2014,capitanes_arecibo,,186,PG,Alvin Cruz,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Capitanes_de_Arecibo/2187,20141015195216,single-source
74,2016,capitanes_arecibo,28,186,PG,Alvin Cruz,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Capitanes-de-Arecibo/2187,20160709120133,single-source
74,2017,capitanes_arecibo,28,186,PG,Cruz Alvin,latinbasket,http://basketball.latinbasket.com/team/Puerto-Rico/Capitanes-de-Arecibo/2187?Year=2016-2017,20170703152251,single-source
74,2018,capitanes_arecibo,28,186,PG,Cruz Alvin,latinbasket,http://basketball.latinbasket.com/team/Puerto-Rico/Capitanes-de-Arecibo/2187?Page=1&Year=2017-2018,20171115170726,single-source
86,2014,indios_mayaguez,,191,G,Andres Ortiz,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Indios_de_Mayaguez/10936,20140918102201,single-source
86,2015,indios_mayaguez,,191,G,Andres Ortiz,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Indios_de_Mayaguez/10936,20150516181941,single-source
87,2010,capitanes_arecibo,05,182,G,Rodriguez Andres,latinbasket,http://basketball.latinbasket.com:80/team/Puerto-Rico/Capitanes_de_Arecibo/2187?Year=2010,20150110124312,single-source
