season,category,prom_kind,serie,rank,player_raw,club_raw,games,v1,v2,v3,prom,parse_flag,confidence,source_id,source_url,retrieved_at,capture_date
2000,anotaciones,per_game,,1,Simms,MOROV,28,633,,,22.6,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,2,Vega,CAGUA,27,589,,,21.8,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,3,Simpson,CAROL,28,566,,,20.2,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,4,Carter,GUAYA,28,564,,,20.1,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,5,Wilson,COAMO,27,549,,,20.3,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,6,Stewart,SAN G,28,541,,,19.3,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,7,Casian0,SAN G,24,535,,,22.3,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,8,Farmer,PONCE,27,532,,,19.7,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,9,Dalmau,QUEBR,28,527,,,18.8,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,anotaciones,per_game,,10,Dalmau,COAMO,26,512,,,19.7,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,1,Dalmau,QUEBR,28,215,,,7.7,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,2,Dalmau,COAMO,26,180,,,6.9,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,3,Carter,GUAYA,28,173,,,6.2,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,4,Hatton,SAN G,26,146,,,5.6,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,5,Alicea,MOROV,26,122,,,4.7,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,6,Santiago,BAYAM,28,121,,,4.3,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,7,Davila,BAYAM,24,111,,,4.6,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,8,Arroyo,SANTU,28,110,,,3.9,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,9,Santiago,SANTU,24,109,,,4.5,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,asistencias,per_game,,10,Pagan,MOROV,28,107,,,3.8,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
2000,bloqueos,per_game,,1,Davis,MOROV,17,39,,,2.3,,single-source,wayback_bsnpr_root,https://web.archive.org/web/20030811092455id_/http://www.bsnpr.com:80/lideres2000.asp?t=3,2026-09-08T14:05:37Z,2003-08-11
