season,team_raw,serie,jersey,player_raw,games,minutes,fgm,fga,tpm,tpa,ftm,fta,dreb,treb,ast,stl,blk,tov,pts,ppg,fg_pct,confidence,source_id,source_url,retrieved_at,capture_date
2001,Vaqueros de Bayamon,,0,"Richard, J.",26,682,90,151,0,0,41,75,146,236,31,13,55,59,221,8.5,0.596,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,4,"Western, F.",24,792,219,386,0,4,88,105,121,170,57,29,6,56,526,21.92,0.567,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,5,"Ortiz, R.",17,145,17,34,4,15,5,6,9,12,29,3,1,17,43,2.53,0.5,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,6,"Travieso, C.",26,815,151,356,101,246,19,28,83,101,61,44,5,54,422,16.23,0.424,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,9,"Salgado, G.",17,87,20,43,2,2,10,17,13,22,4,3,4,6,52,3.06,0.465,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,10,"Cruz, A.",11,110,22,46,7,20,9,17,9,13,19,7,0,11,60,5.45,0.478,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,12,"Padilla, E.",26,641,87,192,25,56,49,65,84,91,152,51,9,78,248,9.54,0.453,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,13,"Leon, E.",7,27,4,12,0,1,0,0,10,12,1,0,0,5,8,1.14,0.333,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,13,"Payano, C.",12,203,49,102,18,45,17,20,26,37,11,9,2,19,133,11.08,0.48,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,15,"Latimer, A.",14,356,65,157,11,35,40,66,53,85,20,2,7,38,181,12.93,0.414,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
2001,Vaqueros de Bayamon,,15,"Novas, R.",11,122,18,31,0,1,14,21,33,47,1,0,2,6,50,4.55,0.581,single-source,wayback_bsnpr_root,https://web.archive.org/web/20010708052714id_/http://www.bsnpr.com:80/equiposstat.asp?t=BA,2026-09-08T13:56:14Z,2001-07-08
