bsnpr_id,canonical_name,normalized_name,apellidos,nombre,nickname,birth_date,birth_year,birth_city,nationality,position,first_season,last_season,n_seasons,has_profile,confidence,source_id,source_url,retrieved_at
1,"Rivera, A.g.","rivera, ag",Rivera,A.g.,,,,,,,1957,1957,1,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828231743id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1&e=,2026-09-08T14:26:01Z
2,"Calderon, A.l.","calderon, al",Calderon,A.l.,,,,,,,1957,1957,1,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070828224344id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2&e=,2026-09-08T14:26:03Z
3,"Shamshid Deen, Abdul","shamshid deen, abdul",Shamshid Deen,Abdul,,,,,,,1992,2002,6,yes,single-source,wayback_bsnpr_players,https://web.archive.org/web/20160128141919id_/http://www.bsnpr.com/jugadores/jugador.asp?id=3,2026-09-08T14:26:05Z
4,"Carmona Andino, Abel","carmona andino, abel",Carmona Andino,Abel,,1/11/1981,1981,"Bayamon, Puerto Rico",Puerto Rico,Delantero,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
5,"Negron Torres, Abraham","negron torres, abraham",Negron Torres,Abraham,,4/24/1966,1966,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
6,"Reyes, Abraham","reyes, abraham",Reyes,Abraham,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
7,"Lopez Jaime, Adalberto","lopez jaime, adalberto",Lopez Jaime,Adalberto,,,,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20070417033701id_/http://www.bsnpr.com:80/estadisticas/enciclopedia.asp,2026-09-08T14:22:06Z
8,"Lopez Arroyo, Adalberto","lopez arroyo, adalberto",Lopez Arroyo,Adalberto,alvin,10/27/1964,1964,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
9,"Medrick Wilson, Adolfo","medrick wilson, adolfo",Medrick Wilson,Adolfo,,1/2/1956,1956,,,,,,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
10,"Porrata Doria, Adolfo","porrata doria, adolfo",Porrata Doria,Adolfo,,5/10/1948,1948,,,,1967,1967,,no,single-source,wayback_bsnpr_players,https://web.archive.org/web/20200601011615id_/https://www.bsnpr.com/estadisticas/enciclopedia.asp,2026-09-08T14:25:42Z
