season,anotaciones,rebotes,tiros_libres_anotados,tiros_libres_pct,canastos_3,canastos_3_pct,bloqueos,cortes_balon,turnovers,rebotes_ofensivos,asistencias
1986,1,1,1,1,1,1,0,0,0,0,1
2007,1,1,1,1,1,1,1,1,1,1,1
2008,1,1,1,1,1,1,1,1,1,1,1
2009,1,1,1,1,1,1,1,1,1,1,1
2010,1,1,1,0,0,0,1,1,1,1,1
2011,1,1,1,1,1,1,1,1,1,1,1
2012,1,1,1,1,1,1,1,1,1,1,1
2013,1,1,1,1,1,1,1,1,1,1,1
2014,1,1,1,1,1,1,1,1,1,1,1
2017,1,1,1,1,1,1,1,1,1,1,1
2018,1,1,1,1,1,1,1,1,1,1,1
2019,1,1,1,1,1,1,1,1,1,1,1
2020,1,1,1,1,1,1,1,1,1,1,1
2021,1,1,1,1,1,1,1,1,1,1,1
