season,franchise_id,city_raw,stage,position,wins,losses,note,confidence,source_id,source_url,retrieved_at,capture_date
2014,capitanes_arecibo,Arecibo,,1,23,13,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,leones_ponce,Ponce,,2,22,14,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,brujos_guayama,Guayama,,3,22,14,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,vaqueros_bayamon,Bayamon,,4,21,15,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,piratas_quebradillas,Quebradillas,,5,20,16,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,cangrejeros_santurce,Santurce,,6,20,16,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,indios_mayaguez,Mayaguez,,7,18,18,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,atleticos_san_german,San German,,8,15,22,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,caciques_humacao,Humacao,,9,14,23,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2014,maratonistas_coamo,Coamo,,10,6,30,,single-source,wayback_latinbasket,https://web.archive.org/web/20160504134855id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2026-09-13T14:26:48Z,2016-05-04
2015,capitanes_arecibo,Arecibo,,1,30,14,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,cangrejeros_santurce,Santurce,,2,29,15,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,leones_ponce,Ponce,,3,25,19,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,osos_manati,Manati,,4,25,19,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,vaqueros_bayamon,Bayamon,,5,25,19,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,atleticos_san_german,San German,,6,24,20,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,mets_guaynabo,Guaynabo,,7,23,21,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,brujos_guayama,Guayama,,8,23,21,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,maratonistas_coamo,Coamo,,9,21,23,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,indios_mayaguez,Mayaguez,,10,21,23,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,piratas_quebradillas,Quebradillas,,11,16,28,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2015,caciques_humacao,Humacao,,12,2,42,,single-source,wayback_latinbasket,https://web.archive.org/web/20160605012031id_/http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2026-09-13T14:26:50Z,2016-06-05
2016,vaqueros_bayamon,Bayamon,,1,21,15,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,cangrejeros_santurce,Santurce,,2,21,15,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
2016,capitanes_arecibo,Arecibo,,3,20,16,,single-source,wayback_latinbasket,https://web.archive.org/web/20171115144046id_/http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2026-09-13T14:26:51Z,2017-11-15
