script,timestamp,digest,r,cuarto,capture_year,original_url
a2gamestatpbp.asp,20010726171805,3EQKSA6ISTRANJKWSTC25S4GPYI7AGQM,BS21056,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21056&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010727162200,YEBRQ2YD6NSUSUQ5BB7XBQZN3VTGYRXC,BS21057,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21057&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917092857,BVDGFVPMZOHVD4B2LY2XULVTPA3WV4OU,BS21157,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21157&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917093510,OMPQFKPLA4C7IDLHE7VPIMKLXGSPSBSI,BS21200,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21200&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917094937,OUPXURKCPVMJFV4QRYKHBKCTBTYF3F3R,BS21222,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21222&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917095432,TDDK6Y6EZGJT4X5GKX7NU723YVK4V4EH,BS21233,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21233&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917101159,YM37ANBQQPHIBCFJULDRK2UBUYBUAUGF,BS21151,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21151&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917101613,5G4DEQBKOXE7UGHVIEFHOM5OYSZBSKD2,BS21186,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21186&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917103511,VUXZ3PNOMA2GGMWUZECYRH2MJYH5FNMR,BS21228,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21228&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010917103704,6WQMLYOSZ5NEOOYONHIVOYRV32LGQ4DO,BS21238,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21238&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20010924202307,2XIPWIZWMGJ4MNLMJEU46WGB3F24LZPH,BS21233,5,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21233&cuarto=5&lang=ES&serie=4
a2gamestatpbp.asp,20010924202958,4NNMOYVKREYL2XR473T52OYAJA4HOYE5,BS21200,4,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21200&cuarto=4&lang=ES&serie=4
a2gamestatpbp.asp,20010924203411,72XJQ5HX6BYTVGZNT2HOYGGEKGSCMK6E,BS21205,2,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21205&cuarto=2&lang=ES&serie=4
a2gamestatpbp.asp,20010924204730,25WVT4WP6VPIT52ZABYS24GJLANOGNXR,BS21225,2,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21225&cuarto=2&lang=ES&serie=4
a2gamestatpbp.asp,20011101180339,NH6WV2QOD755M3QWJOORPDZU5XCISIZ3,BS21020,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21020&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011101181946,W64OSQR34HZMCQB4NX6K7LVMYN5PQZFR,BS21025,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21025&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011101193447,IAP42A42D5BF4IDJ36P2USYE5IWHPJBG,BS21034,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21034&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011101195002,OCPYSPY6T5D63Z2FUNKCYHDXIUGOQXEJ,BS21045,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21045&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011111212929,XLGXUOI3EYUCEKAXP77LACEKDSJO5DRJ,BS21062,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21062&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011111213550,G24VINTJVEMT4KJWXJCWVLLQQCAKTSUS,BS21055,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21055&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011111215013,EUSIHXSK7KT2SOZQMHOVGRMRKIWHOOOJ,BS21073,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21073&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011111215130,HNHOT7AIFYHEKWJRHFHD6M2RJGAKBRNQ,BS21065,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21065&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011120230350,23V3EQX67EINN6E4MI4ASC2NWEFZEUDZ,BS21081,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21081&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011124123034,TK2MBSG3PABUVQWUZ6WI3E4ODUF72UQ7,BS21001,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21001&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011124124119,OUSYU5PG3ZBTYH7QCJIQKBEI7OPK7FJZ,BS21013,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21013&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011125212512,S7LINFLZLIUM5GESQTKT2S7PN3EANNM3,BS21304,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21304&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011125214947,CIUCV4HJERLAP67XAQJ5FRW37T2CZJYH,BS21306,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21306&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011125221006,ICKJANZMQBCGL7LG7ZMXBFQOLKLCNDIH,BS21308,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21308&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011125222016,2YO3UWHB5ETTX52IZWTT3RRAX7IR3HG3,BS21309,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21309&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011125222922,BLFAURSLTRQZVESTIOP3NTGDCMCFWOUM,BS21310,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21310&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011126000206,KAJRTS4G7AMZQWCK3WWQLMU7GMSYVZKW,BS21311,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21311&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011126000957,MY3C2H46BU65G7VNBU5IZUBOVXJG7I5L,BS21312,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21312&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011126003614,R2GACP2X4DIR7GAL57VZQPJYL4EWYFKK,BS21303,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21303&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011216044737,I5JN3NA7M7QIFISV6TIV22TPQPDUEPU5,BS21307,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21307&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011217235420,5WER2MO7OPWDTG3KCQGSFFYPEUZTLUCA,BS21300,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21300&cuarto=1&lang=ES&serie=
a2gamestatpbp.asp,20011218000411,OM6LAI46HUO24AVE3RE57II3OUWN4L74,BS21305,1,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21305&cuarto=1&lang=ES&serie=4
a2gamestatpbp.asp,20011225051208,YIS5AL6AKRFDUH5FQVFTQMAKQYLEQLRA,BS21307,2,2001,http://www.bsnpr.com:80/a2gamestatpbp.asp?r=BS21307&cuarto=2&lang=ES&serie=4
