script,original_url,timestamp,statuscode,mimetype,digest,query
lideres2002.asp,http://bsnpr.com:80/lideres2002.asp,20020509130916,200,text/html,3TEINEVATOUBMLT42L3HM44FSQGU2MXW,
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp,20020705030005,200,text/html,3TEINEVATOUBMLT42L3HM44FSQGU2MXW,
lideres2002.asp,http://bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20020818155333,200,text/html,72KT2U4XJWQS7J6ME7GB4UTZY3B2LEOI,grupo=BS22&serie=1
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20021005114738,200,text/html,72KT2U4XJWQS7J6ME7GB4UTZY3B2LEOI,grupo=BS22&serie=1
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20030228205326,200,text/html,QAWAKIIFZYYXGAX43AQIHV7GZ4NXNFGZ,grupo=BS22&serie=1
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20030811092800,500,text/html,YJNIGM64223LYX73UYI6CWXNS4S3ZKY5,grupo=BS22&serie=1
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20031020102305,200,text/html,COJVHZ7XPMQ3BT4VZREXSJCSTJX3K7IT,grupo=BS22&serie=1
lideres2002.asp,http://bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20040107130305,400,text/html,KIAEUIRBQ6O6J22EYZKH4SA44SF2C4XN,grupo=BS22&serie=1
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20040313124548,404,text/html,6BSJ7FEV2H2WNI7WSAACAUFYPAALJPHC,grupo=BS22&serie=1
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp,20021130214048,200,text/html,NNANT4Z5ERV7QPMZYZHOGMHLYHLSO3O5,
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20020616013032,200,text/html,OCA3Y22R46KEEEQQUVPRQELL3FG5ZBVG,t=3
lidereshistoricos.asp,http://bsnpr.com:80/lidereshistoricos.asp?t=3,20021230073818,200,text/html,IEYBQYPNYEQ2WC6SDFC4AVECJWP3YENO,t=3
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20030228205047,200,text/html,IEYBQYPNYEQ2WC6SDFC4AVECJWP3YENO,t=3
lidereshistoricos.asp,http://bsnpr.com:80/lidereshistoricos.asp?t=3,20030610202056,200,text/html,PGNM37PO2BCVCYTO4X3ULSVHHOWZ6O6F,t=3
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20030622024708,200,text/html,PGNM37PO2BCVCYTO4X3ULSVHHOWZ6O6F,t=3
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20031020102125,200,text/html,2DJ7KR6GSXENUGF2MDXGA3XBHMGEPP6X,t=3
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20040909163906,200,text/html,BVRUJJQYK3HFD7QDFNTCSGCWT3JXXFWD,t=3
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20040405022402,200,text/html,JDUEAITCFVCTOPBUXF4KZL2ZOREOSA7V,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20040605020739,200,text/html,KQ36GGQVJPXWRM52NZH24OHOQICSKMBH,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20040803160642,200,text/html,RJ37OSMAU46HEBBUQWIRX2GEAAURPLSO,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20041204214925,200,text/html,JFR7X2ICGSI2D6U4RKFA5VHNLRHTKQSL,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050207151535,200,text/html,JFR7X2ICGSI2D6U4RKFA5VHNLRHTKQSL,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050307222927,200,text/html,34LZ4F2B6CALI5PEYSJLIRC6EEKGD5SM,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050409213708,200,text/html,H62EHENDTKHR3VFCRDT4I5FL3Y2KKOD3,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050904215835,200,text/html,H62EHENDTKHR3VFCRDT4I5FL3Y2KKOD3,
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20060716032157,200,text/html,AO4V43463YQJSRRAOBWK73C36WL4GGKP,
mvp.asp,http://www.bsnpr.com/mvp.asp,20061119232934,200,text/html,AO4V43463YQJSRRAOBWK73C36WL4GGKP,
