script,capture_year,digest,r,timestamp,local_file,gated
gamestatwide.asp,2001,XFLYDBQIKCOMYGONVBC54DE4MESZYOF6,BS21057,20010622192428,2001_20010622192428_XFLYDBQI.html,no
gamestatwide.asp,2001,ESRVRVRPJDAMLQPSIYJH3MDUPMSU3QIS,BS21059,20010702194031,2001_20010702194031_ESRVRVRP.html,no
gamestatwide.asp,2001,VAVRXS5VR5O5EVMBWIS4RDMQDUCGYVN3,,20010708051552,2001_20010708051552_VAVRXS5V.html,no
gamestatwide.asp,2001,XDMQBCNR3AGCWIGB6SA2NKTI6OBR76OM,BS21057,20010726155853,2001_20010726155853_XDMQBCNR.html,no
gamestatwide.asp,2001,JOC6ZCINOKRHSZOVW63DZQ6Q4NVL5N3E,BS21060,20010726160414,2001_20010726160414_JOC6ZCIN.html,no
gamestatwide.asp,2001,U23ZJICCNYU4CBNSW4CVU5HHKJKC74QW,BS21040,20010726162357,2001_20010726162357_U23ZJICC.html,no
gamestatwide.asp,2001,FWTSF26WHHF4NF3A4RNDYEPZIHOHX5A6,BS21037,20010726162422,2001_20010726162422_FWTSF26W.html,no
gamestatwide.asp,2001,MKD7GFOFEDYMXILNYC7ATOWELRRB73BJ,BS21051,20010726162927,2001_20010726162927_MKD7GFOF.html,no
gamestatwide.asp,2001,DPHKSQ6DPFI5RBIVLBGVDA7RRPZMEZTI,BS21011,20010729002453,2001_20010729002453_DPHKSQ6D.html,no
gamestatwide.asp,2001,UIIJNAA57FVL3VENE5U7MEF3AMC5EPK6,BS21072,20010730190638,2001_20010730190638_UIIJNAA5.html,no
gamestatwide.asp,2001,XO347ZDIOLARDMWYYKVTCWZDDEC262BH,BS21076,20010730191055,2001_20010730191055_XO347ZDI.html,no
gamestatwide.asp,2001,6SAHLS2WM5SZBSSHMURD4GON74EN3SCO,BS21095,20010730191131,2001_20010730191131_6SAHLS2W.html,no
gamestatwide.asp,2001,6MV7CFCFE4SC6LCEXZQX7ISYAOTETMJO,BS21100,20010730191543,2001_20010730191543_6MV7CFCF.html,no
gamestatwide.asp,2001,KVTIKNE2FEHNZNVQUTJNUFQTPX4P4R5D,BS21113,20010730191857,2001_20010730191857_KVTIKNE2.html,no
gamestatwide.asp,2001,KPYFHFW5W3XDOY23NFMO7SS6UPW5X2YC,BS21027,20010730203218,2001_20010730203218_KPYFHFW5.html,no
gamestatwide.asp,2001,STGL5UFMCMFDVQ6B2Q65K36MFZDE5IRZ,BS21034,20010730203658,2001_20010730203658_STGL5UFM.html,no
gamestatwide.asp,2001,5FV6ABQAIAGIHB4TDEOS533NUHUZWDLD,BS21043,20010730204302,2001_20010730204302_5FV6ABQA.html,no
gamestatwide.asp,2001,PSBFX7TYS7QE7PUVMUSV6VZCIH33IGUS,BS21052,20010730204921,2001_20010730204921_PSBFX7TY.html,no
gamestatwide.asp,2001,34SBPGCYCU46SKFK2WFASG7QCVQEE3V7,BS21128,20010731222813,2001_20010731222813_34SBPGCY.html,no
gamestatwide.asp,2001,AQS5VE7U33OFHTAWXEK5CJDFYKW6QUTQ,BS21134,20010731222950,2001_20010731222950_AQS5VE7U.html,no
gamestatwide.asp,2001,WAUHVRRIPK22KRFWPI7SY7LJONTFJ36F,BS21135,20010731223112,2001_20010731223112_WAUHVRRI.html,no
gamestatwide.asp,2001,DISZYUWR7BZKKJ4GYD2G7C7HGK72H3I3,BS21139,20010731224516,2001_20010731224516_DISZYUWR.html,no
gamestatwide.asp,2001,DIGLYRPU5SB2NNQWB2BLX3GXR7BYQYIE,BS21140,20010731224636,2001_20010731224636_DIGLYRPU.html,no
gamestatwide.asp,2001,FRONKX6XV6R6PBD66344JLYX64TC5A77,BS21141,20010731224810,2001_20010731224810_FRONKX6X.html,no
gamestatwide.asp,2001,VMOYHAAB34AAKPA3TCJOCHUY6FGOL22P,BS21143,20010731225104,2001_20010731225104_VMOYHAAB.html,no
gamestatwide.asp,2001,HCO6HJL3NGJFHFSKTYNH77DKGG6YE5FP,BS21190,20010803080738,2001_20010803080738_HCO6HJL3.html,no
gamestatwide.asp,2001,NYZSO3UNHLVZALR7YD533SLYFT7PVFLI,BS21186,20010814094151,2001_20010814094151_NYZSO3UN.html,no
gamestatwide.asp,2001,TJFGKNRXSYAJA3SXTRUFQJFHUYALW5Y6,BS21200,20010901043406,2001_20010901043406_TJFGKNRX.html,no
gamestatwide.asp,2001,OBIHLMTARK2WC5URDXMFIBOCTW2R7VNJ,BS21228,20010901045814,2001_20010901045814_OBIHLMTA.html,no
gamestatwide.asp,2001,IIAA5SNQJUHX6KRDYDC3LFALT5SDC6CO,BS21238,20010901050921,2001_20010901050921_IIAA5SNQ.html,no
gamestatwide.asp,2001,V2LJFVBF77YKPJNBBAZK5F3EXBNT3KPD,BS21151,20010901052315,2001_20010901052315_V2LJFVBF.html,no
gamestatwide.asp,2001,KXZGARYTCJS4L5KZ4W2MS6L7EMVEZFTM,BS21186,20010901052947,2001_20010901052947_KXZGARYT.html,no
gamestatwide.asp,2001,Z4NV65CBNUURMSRS7LYJM2KNKRY2SXT2,BS21200,20010917105006,2001_20010917105006_Z4NV65CB.html,no
gamestatwide.asp,2001,HXYXQUIYLO43KKWUDIRRGCIRAO4GPTNS,BS21228,20010917105704,2001_20010917105704_HXYXQUIY.html,no
gamestatwide.asp,2001,ZV2WH3YUEVPLMSTXQK7CZPTPI3JTSGXL,BS21233,20010917110131,2001_20010917110131_ZV2WH3YU.html,no
gamestatwide.asp,2001,T3YWVCXL5IXJSY2IUABCOOJC7HL6UKAH,BS21238,20010917110812,2001_20010917110812_T3YWVCXL.html,no
gamestatwide.asp,2001,ZWNPFMWWUYR4UR26QMDN642JFK2N7SZ6,BS21025,20011005085046,2001_20011005085046_ZWNPFMWW.html,no
gamestatwide.asp,2001,W6PJX3OHVNZI5KISRPKYD72CSBEPPYGF,BS21020,20011005085740,2001_20011005085740_W6PJX3OH.html,no
gamestatwide.asp,2001,PU5PBQZCHOLOEAJUM7FPYQQ67XQ2EOQW,BS21039,20011005092005,2001_20011005092005_PU5PBQZC.html,no
gamestatwide.asp,2001,7YWMSGIC3ZEIMJ7LWWAIUYUQZ55PQIWC,BS21062,20011005092920,2001_20011005092920_7YWMSGIC.html,no
gamestatwide.asp,2001,NNBCRSCOZT6CLJMGOLTUNGLGOP7TFUGI,BS21055,20011005093119,2001_20011005093119_NNBCRSCO.html,no
gamestatwide.asp,2001,GHVBOACT6GR7EVJYJ3YFDLEC73VZKQZX,BS21065,20011005095115,2001_20011005095115_GHVBOACT.html,no
gamestatwide.asp,2001,ZJXIE4AEGUBPCUQXJ6BBU2GGSRAUYAYR,BS21086,20011005095306,2001_20011005095306_ZJXIE4AE.html,no
gamestatwide.asp,2001,N4KDATUTZQRT4QFHAO3H6XMVSFDN5OLT,BS21081,20011005102254,2001_20011005102254_N4KDATUT.html,no
gamestatwide.asp,2001,CVKK7EA4X72T6OUA2FOA3LZZDGNJSTJN,BS21093,20011005123351,2001_20011005123351_CVKK7EA4.html,no
gamestatwide.asp,2001,3KID56NTBNT6VJWNYNYZCBOJYRBDSYRU,BS21001,20011005142001,2001_20011005142001_3KID56NT.html,no
gamestatwide.asp,2001,NZDHLQBOILAMUOLT2L4YOVAZPXMR5P4F,BS21304,20011020072326,2001_20011020072326_NZDHLQBO.html,no
gamestatwide.asp,2001,VV34PXBTDZ3Y5B3TDS6TRK2ZRGIOGNFX,BS21303,20011020072803,2001_20011020072803_VV34PXBT.html,no
gamestatwide.asp,2001,NPA5F5Q7WU2L6KJTOF52RCAA3IQDVYQX,BS21305,20011020073637,2001_20011020073637_NPA5F5Q7.html,no
gamestatwide.asp,2001,APZJ34YR64OYEART7C4IXGDB4TY2PLOC,BS21307,20011020074608,2001_20011020074608_APZJ34YR.html,no
gamestatwide.asp,2001,GKDE34EYOS5GPOKXLDXJ2ZHK2TOFVV7O,BS21308,20011020074738,2001_20011020074738_GKDE34EY.html,no
gamestatwide.asp,2001,LE4U4GOYQBVYUSDWYNTAQGRQMONSQILX,BS21309,20011020100200,2001_20011020100200_LE4U4GOY.html,no
gamestatwide.asp,2001,I66PENTVVU2DYIT2PTPJR5ONHUVPT5HZ,BS21310,20011020101511,2001_20011020101511_I66PENTV.html,no
gamestatwide.asp,2001,EKWHJ2L2SCAICD2YNLHMYEV7CVQ3NJ5C,BS21311,20011020102052,2001_20011020102052_EKWHJ2L2.html,no
gamestatwide.asp,2001,KGVO4HLJ34EAVZIBBMP3BBMDYRSAGDHP,BS21312,20011020102732,2001_20011020102732_KGVO4HLJ.html,no
gamestatwide.asp,2001,DAQT7VUQ2AT4J63VLGIUHPRJLE33OLME,BS21196,20011101174305,2001_20011101174305_DAQT7VUQ.html,no
