script,original_url,timestamp,digest,query,local_file
lideres2002.asp,http://bsnpr.com:80/lideres2002.asp,20020509130916,3TEINEVATOUBMLT42L3HM44FSQGU2MXW,,20020509130916_3TEINEVA.html
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp,20020705030005,3TEINEVATOUBMLT42L3HM44FSQGU2MXW,,20020509130916_3TEINEVA.html
lideres2002.asp,http://bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20020818155333,72KT2U4XJWQS7J6ME7GB4UTZY3B2LEOI,grupo=BS22&serie=1,20020818155333_72KT2U4X.html
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20021005114738,72KT2U4XJWQS7J6ME7GB4UTZY3B2LEOI,grupo=BS22&serie=1,20020818155333_72KT2U4X.html
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20031020102305,COJVHZ7XPMQ3BT4VZREXSJCSTJX3K7IT,grupo=BS22&serie=1,20031020102305_COJVHZ7X.html
lideres2002.asp,http://www.bsnpr.com:80/lideres2002.asp?grupo=BS22&serie=1,20030228205326,QAWAKIIFZYYXGAX43AQIHV7GZ4NXNFGZ,grupo=BS22&serie=1,20030228205326_QAWAKIIF.html
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20031020102125,2DJ7KR6GSXENUGF2MDXGA3XBHMGEPP6X,t=3,20031020102125_2DJ7KR6G.html
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20040909163906,BVRUJJQYK3HFD7QDFNTCSGCWT3JXXFWD,t=3,20040909163906_BVRUJJQY.html
lidereshistoricos.asp,http://bsnpr.com:80/lidereshistoricos.asp?t=3,20021230073818,IEYBQYPNYEQ2WC6SDFC4AVECJWP3YENO,t=3,20021230073818_IEYBQYPN.html
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20030228205047,IEYBQYPNYEQ2WC6SDFC4AVECJWP3YENO,t=3,20021230073818_IEYBQYPN.html
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp,20021130214048,NNANT4Z5ERV7QPMZYZHOGMHLYHLSO3O5,,20021130214048_NNANT4Z5.html
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20020616013032,OCA3Y22R46KEEEQQUVPRQELL3FG5ZBVG,t=3,20020616013032_OCA3Y22R.html
lidereshistoricos.asp,http://bsnpr.com:80/lidereshistoricos.asp?t=3,20030610202056,PGNM37PO2BCVCYTO4X3ULSVHHOWZ6O6F,t=3,20030610202056_PGNM37PO.html
lidereshistoricos.asp,http://www.bsnpr.com:80/lidereshistoricos.asp?t=3,20030622024708,PGNM37PO2BCVCYTO4X3ULSVHHOWZ6O6F,t=3,20030610202056_PGNM37PO.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050307222927,34LZ4F2B6CALI5PEYSJLIRC6EEKGD5SM,,20050307222927_34LZ4F2B.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20060716032157,AO4V43463YQJSRRAOBWK73C36WL4GGKP,,20060716032157_AO4V4346.html
mvp.asp,http://www.bsnpr.com/mvp.asp,20061119232934,AO4V43463YQJSRRAOBWK73C36WL4GGKP,,20060716032157_AO4V4346.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050409213708,H62EHENDTKHR3VFCRDT4I5FL3Y2KKOD3,,20050409213708_H62EHEND.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050904215835,H62EHENDTKHR3VFCRDT4I5FL3Y2KKOD3,,20050409213708_H62EHEND.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20040405022402,JDUEAITCFVCTOPBUXF4KZL2ZOREOSA7V,,20040405022402_JDUEAITC.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20041204214925,JFR7X2ICGSI2D6U4RKFA5VHNLRHTKQSL,,20041204214925_JFR7X2IC.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20050207151535,JFR7X2ICGSI2D6U4RKFA5VHNLRHTKQSL,,20041204214925_JFR7X2IC.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20040605020739,KQ36GGQVJPXWRM52NZH24OHOQICSKMBH,,20040605020739_KQ36GGQV.html
mvp.asp,http://www.bsnpr.com:80/mvp.asp,20040803160642,RJ37OSMAU46HEBBUQWIRX2GEAAURPLSO,,20040803160642_RJ37OSMA.html
