key,original_url,timestamp,digest,roster_team,local_file
224KRYNEMCGVEZJ6R3BZGG2IOYI62ZGR,http://www.bsnpr.com:80/jug05.asp?r3=00112&r2=462786RX3B&r=00102&e=,20061208064347,224KRYNEMCGVEZJ6R3BZGG2IOYI62ZGR,,224KRYNEMCGVEZJ6R3BZGG2IOYI62ZGR.html
24RXQQRTBYS3ZDJSEZNMNZSQKJV77L7Q,http://www.bsnpr.com:80/jug05.asp?r3=SQUAX&r2=OLQUXXXGVB&r=00096&e=,20070404075051,24RXQQRTBYS3ZDJSEZNMNZSQKJV77L7Q,,24RXQQRTBYS3ZDJSEZNMNZSQKJV77L7Q.html
25L62TMVO5BSSMM5JGJRSFZHS4BZCZ5D,http://www.bsnpr.com:80/jug05.asp?r3=00208&r2=462766RX2A&r=00075&e=,20061216221534,25L62TMVO5BSSMM5JGJRSFZHS4BZCZ5D,,25L62TMVO5BSSMM5JGJRSFZHS4BZCZ5D.html
25UH6XLPJ235BRHFJ4657THDUBYXLZ45,http://www.bsnpr.com:80/jug05.asp?r2=KENXAWCLXD&r=ZRCVG&e=ISABELA,20051001140706,25UH6XLPJ235BRHFJ4657THDUBYXLZ45,ISABELA,25UH6XLPJ235BRHFJ4657THDUBYXLZ45.html
26JEZ3B2VSI4SO3KCNMJLRLXQ7KOVMRK,http://www.bsnpr.com:80/jug05.asp?r3=NAMLG&r2=FJAGTOKQGG&r=00083&e=,20061207122846,26JEZ3B2VSI4SO3KCNMJLRLXQ7KOVMRK,,26JEZ3B2VSI4SO3KCNMJLRLXQ7KOVMRK.html
26W6QYM7KJHWCA7DOK6KOCSADMXDS4DY,http://www.bsnpr.com:80/jug05.asp?r2=462796RX3G&r3=00257&r=00106&e=SANTURCE,20060528213746,26W6QYM7KJHWCA7DOK6KOCSADMXDS4DY,SANTURCE,26W6QYM7KJHWCA7DOK6KOCSADMXDS4DY.html
27MJHISNALEN6RKGRAKSXPHTL2AQWME7,http://www.bsnpr.com:80/jug05.asp?r3=OJXVC&r2=OKXSWMUWLG&r=00601&e=,20061215015245,27MJHISNALEN6RKGRAKSXPHTL2AQWME7,,27MJHISNALEN6RKGRAKSXPHTL2AQWME7.html
2AUOZIVDC5CQZNW3XYINIAEWFR46WXAS,http://www.bsnpr.com:80/jug05.asp?r2=462716RX07&r3=NOGDK&r=00127&e=SAN+GERMAN,20070224202659,2AUOZIVDC5CQZNW3XYINIAEWFR46WXAS,SAN GERMAN,2AUOZIVDC5CQZNW3XYINIAEWFR46WXAS.html
2BOKXATRPMGJC3Y55M45QBRIZOHTTRTE,http://www.bsnpr.com/jug05.asp?r2=GSPOPSUTYD&r3=LYJAY&r=00539&e=GUAYNABO,20061119225608,2BOKXATRPMGJC3Y55M45QBRIZOHTTRTE,GUAYNABO,2BOKXATRPMGJC3Y55M45QBRIZOHTTRTE.html
2CD4QWXHHD657KKD6WQJ6QYNTADR6W3C,http://www.bsnpr.com:80/jug05.asp?r2=462756RX1S&r=00190&e=PONCE,20050903165547,2CD4QWXHHD657KKD6WQJ6QYNTADR6W3C,PONCE,2CD4QWXHHD657KKD6WQJ6QYNTADR6W3C.html
