key,original_url,timestamp,digest,roster_team,local_file
22YS77CHRSJBSM36VGG5H275KRLNVZYA,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=ZBCOCSGWCF&e=CAYEY,20050903181404,22YS77CHRSJBSM36VGG5H275KRLNVZYA,CAYEY,22YS77CHRSJBSM36VGG5H275KRLNVZYA.html
25KIZHSNIZTNLMJEHE5W6QYE2J3BAVPN,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462756RX1T&e=PONCE,20050414064835,25KIZHSNIZTNLMJEHE5W6QYE2J3BAVPN,PONCE,25KIZHSNIZTNLMJEHE5W6QYE2J3BAVPN.html
262PRDXVJMYLD4H5YHUYGIYCHJ5TH6N2,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462706RWZX&e=,20050322103346,262PRDXVJMYLD4H5YHUYGIYCHJ5TH6N2,,262PRDXVJMYLD4H5YHUYGIYCHJ5TH6N2.html
2B6GZS6EOXVDDVQ6N3KH3VMBTVURBBY6,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462706RWZN&e=COAMO,20050414064435,2B6GZS6EOXVDDVQ6N3KH3VMBTVURBBY6,COAMO,2B6GZS6EOXVDDVQ6N3KH3VMBTVURBBY6.html
2BK452AXWYTSXBMZ3AYN5L3OWMYWQSSD,http://www.bsnpr.com:80/jugador05.asp?r2=VJKVUBAGXS&e=MAYAGUEZ,20050326205024,2BK452AXWYTSXBMZ3AYN5L3OWMYWQSSD,MAYAGUEZ,2BK452AXWYTSXBMZ3AYN5L3OWMYWQSSD.html
2BXQFVD7VYEHOGN2FO77TU5TJT2MAQQP,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=462756RX1S&e=PONCE,20061119235741,2BXQFVD7VYEHOGN2FO77TU5TJT2MAQQP,PONCE,2BXQFVD7VYEHOGN2FO77TU5TJT2MAQQP.html
2DZ3UZV2WC3GLE7OFAC5R5GMLIU3RDMV,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462666RWXQ&e=ARECIBO,20050414064947,2DZ3UZV2WC3GLE7OFAC5R5GMLIU3RDMV,ARECIBO,2DZ3UZV2WC3GLE7OFAC5R5GMLIU3RDMV.html
2EEEC274GZQ57J2M35JBGE4ACPC65G7L,http://www.bsnpr.com:80/jugador05.asp?r=xxx&r2=462726RX0J&e=SAN+GERMAN,20050907092435,2EEEC274GZQ57J2M35JBGE4ACPC65G7L,SAN GERMAN,2EEEC274GZQ57J2M35JBGE4ACPC65G7L.html
2GBR3EFWIPRUYTOVGXFRJOUMO6LJPEH3,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=LCLADCPJBV&e=CAYEY,20061119234021,2GBR3EFWIPRUYTOVGXFRJOUMO6LJPEH3,CAYEY,2GBR3EFWIPRUYTOVGXFRJOUMO6LJPEH3.html
2II46DRCC4QPCR5Z32TRHJPN26OTZOC5,http://www.bsnpr.com/jugador05.asp?r=xxx&r2=GFPAQCDEDB&e=PONCE,20061119235020,2II46DRCC4QPCR5Z32TRHJPN26OTZOC5,PONCE,2II46DRCC4QPCR5Z32TRHJPN26OTZOC5.html
