season,status,timestamp,original_url,local_file
2014,ok,20160504134855,http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2014.asp,2014.html
2015,ok,20160605012031,http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2015.asp,2015.html
2016,ok,20171115144046,http://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2016.asp,2016.html
2017,ok,20170923123400,http://www.latinbasket.com:80/Puerto-Rico/basketball-League-BSN_2017.asp,2017.html
2018,ok,20190112113415,https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2018.asp,2018.html
2019,ok,20251219170307,https://www.latinbasket.com/Puerto-Rico/basketball-league-bsn_2019.aspx,2019.html
2020,ok,20241205133517,https://www.latinbasket.com/Puerto-Rico/basketball-League-BSN_2020.aspx,2020.html
2021,no_capture,,,
2022,ok,20251206111428,https://www.latinbasket.com/Puerto-Rico/basketball-league-bsn_2022.aspx,2022.html
2023,no_capture,,,
