bsnpr_id,season,city_token,team_raw_a,source_id_a,games_a,points_a,source_url_a,team_raw_b,source_id_b,games_b,points_b,source_url_b,jug05_retrieved_at
35,2001,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,12,14,https://web.archive.org/web/20080803163146id_/http://bsnpr.com:80/jugadores/jugador.asp?id=35&e=,SANTURCE,wayback_bsnpr_jug05,12,26,https://web.archive.org/web/20061208064347id_/http://www.bsnpr.com:80/jug05.asp?r3=00112&r2=462786RX3B&r=00102&e=,2026-09-10T01:53:41Z
37,2001,mayaguez,"Indios, Mayaguez",wayback_bsnpr_players,5,16,https://web.archive.org/web/20170715120606id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=37&e=,MAYAGUEZ,wayback_bsnpr_jug05,4,16,https://web.archive.org/web/20061212190415id_/http://www.bsnpr.com:80/jug05.asp?r3=00145&r2=462736RX0S&r=00025&e=,2026-09-10T01:56:41Z
49,2001,caguas,"Criollos, Caguas",wayback_bsnpr_players,6,19,https://web.archive.org/web/20080501072254id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=49&e=11,CAGUAS,wayback_bsnpr_jug05,7,19,https://web.archive.org/web/20061119230859id_/http://www.bsnpr.com/jug05.asp?r2=462686RWYN&r3=00053&r=00545&e=CAGUAS,2026-09-10T01:57:29Z
50,2000,guaynabo,"Mets, Guaynabo",wayback_bsnpr_players,28,333,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,GUAYNABO,wayback_bsnpr_jug05,27,333,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,2026-09-10T01:55:01Z
50,2002,santurce,"Cangrejeros, Santurce",wayback_bsnpr_players,29,307,https://web.archive.org/web/20130428000600id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=50&e=,SANTURCE,wayback_bsnpr_jug05,30,319,https://web.archive.org/web/20060224014959id_/http://www.bsnpr.com:80/jug05.asp?r2=462796RX3F&r3=00254&r=00105&e=SANTURCE,2026-09-10T01:55:01Z
81,2006,san german,"Atleticos, San German",wayback_bsnpr_players,13,126,https://web.archive.org/web/20071211045931id_/http://bsnpr.com:80/jugadores/jugador.asp?id=81&e=,SAN GERMAN,wayback_bsnpr_jug05,31,333,https://web.archive.org/web/20070404012113id_/http://www.bsnpr.com:80/jug05.asp?r3=QSBVQ&r2=QQRXUFBMBV&r=00029&e=,2026-09-10T02:12:19Z
87,2001,caguas,"Criollos, Caguas",wayback_bsnpr_players,14,23,https://web.archive.org/web/20180424203035id_/http://www.bsnpr.com/jugadores/jugador.asp?id=87&e,CAGUAS,wayback_bsnpr_jug05,15,28,https://web.archive.org/web/20060713002107id_/http://www.bsnpr.com:80/jug05.asp?r=00052,2026-09-10T01:55:51Z
87,2002,caguas,"Criollos, Caguas",wayback_bsnpr_players,26,179,https://web.archive.org/web/20180424203035id_/http://www.bsnpr.com/jugadores/jugador.asp?id=87&e,CAGUAS,wayback_bsnpr_jug05,0,0,https://web.archive.org/web/20060713002107id_/http://www.bsnpr.com:80/jug05.asp?r=00052,2026-09-10T01:55:51Z
118,2000,aibonito,"Polluelos, Aibonito",wayback_bsnpr_players,6,40,https://web.archive.org/web/20090713001227id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=118&e=7,AIBONITO,wayback_bsnpr_jug05,5,40,https://web.archive.org/web/20070404080846id_/http://www.bsnpr.com:80/jug05.asp?r3=00032&r2=462676RWYA&r=00120&e=,2026-09-10T02:11:49Z
118,2002,isabela,"Gallitos, Isabela",wayback_bsnpr_players,11,81,https://web.archive.org/web/20090713001227id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=118&e=7,ISABELA,wayback_bsnpr_jug05,10,67,https://web.archive.org/web/20070404080846id_/http://www.bsnpr.com:80/jug05.asp?r3=00032&r2=462676RWYA&r=00120&e=,2026-09-10T02:11:49Z
