name,birth_date,position,seasons,collides_with
"Apodaca, Rick",1/7/1980,Escolta,2000;2001;2002;2003;2004,"2028 Apodaca Perez, Rick"
"Aubry, Jefrey",6/29/1977,Centro,1998;1999;2000;2001;2002;2003;2003;2004,"1025 Aubry Flores, Jeffrion"
"Ayuso, Larry",3/27/1977,Escolta,1996;1997;1999;2000;2001;2002;2003;2005,"574 Ayuso Carrillo, Elias"
"Babilonia, Luis",9/4/1987,Alero,2005,"881 Babilonia Bayona, Hector luis"
"Brannen, Bobby",9/21/1975,Delantero,2005,"251 Brannen, Robert"
"Brown, Sirvaliant",12/21/1980,Escolta,2004,"2174 Brown Martinez, Sir Valiant"
"Bunn, Joseph",3/18/1975,Delantero,2003;2003;2003;2005,"1280 Bunn Stallins, Joseph"
"Carmona, Abel",1/11/1981,Delantero,1999;2000;2002;2004;2005,"4 Carmona Andino, Abel"
"Davis, Nick",9/27/1976,Centro,2000;2001;2003;2004,"1693 Davis Jackson, Nathanael"
"Delgado, Pablo",4/3/1983,Armador,2005,"713 Delgado Padro, Francisco | 1777 Delgado Vargas, Pablo"
"Falcon, Alex",11/20/1973,Delantero,1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,"50 Falcon Melendez, Alexander"
"Gonzalez, Alberto",9/5/1986,Escolta,,"36 Gonzalez Vientos, Alberto carlos | 1661 Gonzalez Gonzalez, Miguel a."
"Guzman, Ansel",5/20/1984,Armador,2003;2005,"158 Guzman Hernaiz, Ansel M"
"Hatton, Bobby Joe",10/11/1976,Armador,1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,"2074 Hatton Negron, Roberto Jose"
"Henderson, J.R.",10/30/1976,Delantero,2005,"1675 Henderson, Milton"
"Heywood, Jamel",3/19/1977,Delantero,2002;2003;2004;2005,"986 Heywood Thomas, Jameel"
"Latson, Therone",3/19/1974,Delantero,1993;1994;1995;1996;1997;1999;2001;2003;2004;2005,"2201 Latson Poling, Therome Ray"
"Lopez, Frank",5/12/1985,Escolta,2005,"952 Lopez Rodriguez, Ivan"
"Lopez, Michael",3/28/1975,Armador,1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2003;2004;2005,"143 Lopez Ortiz, Angel Miguel"
"Malavé, Shacún",1/7/1979,Centro,,"2164 Malave Cea, Shacuntaino"
"Malpica, Karin",8/24/1978,Armador,2003;2004;2005,"1385 Malpica Torres, Karim"
"Narvaez, Manuel",5/12/1981,Centro,2000;2002;2003;2003;2004;2004;2005,"1562 Narvaez Rivera, Manuel Antonio"
"Nieves, Roberto",1/20/1982,Escolta,1998;1999;2000;2001;2002;2005,"2067 Nieves Perez, Roberto"
"Ortiz, Fernando",7/14/1977,Delantero,1994;1995;1996;1997;1998;1999;2000;2002;2002;2003;2004;2005,"697 Ortiz Espada, Fernando"
"Ortiz, Fernando",7/14/1967,Delantero,1994;1995;1996;1997;1998;1999;2000;2002;2002;2003;2004,"646 Ortiz Ramos, Etienne"
"Rosa, Raijosé",6/17/1982,Armador,2005,"1497 Rosa Clemente, Luis | 1907 Rosa Rosario, Raijose"
"Rosario, Eufemio",9/12/1982,Delantero,2003;2004;2005,"647 Rosario Lopez, Eufemio"
"Ruiz, Marcos",6/7/1983,Armador,2004;2005,"772 Ruiz Negron, Gabriel | 959 Ruiz Ramos, Ivan | 1570 Ruiz Rodriguez, Marcos A."
"Santiago, Orlando",11/21/1975,Armador/Escolta,1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,"1760 Santiago Cordero, Orlando"
"Tapia, Raymar",12/23/1982,Armador,2005,"1908 Tapia Oquendo, Raimar"
"Vega, Orlando",6/6/1968,Escolta/Delantero,1988;1989;1990;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,"1759 Vega Smith, Orlando"
"Velez, Roudan",1/12/1988,Armador,2005,"2100 Velez Perez, Rouldan"
"Victor, Isiah",7/6/1978,Delantero,,"2390 Victor White, Isaiah"
"Villegas, Sammy",3/7/1983,Escolta,1999;2001;2002;2005,"2145 Villegas Aviles, Samuel"
"Western, Franklyn",4/16/1970,Delantero,1991;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005,"757 Western Canales, Franklin"
