bsnpr_id,season,jug05_team_raw,jug05_games,jug05_points,jug05_source_url,jug05_retrieved_at,ficha_rows,ficha_games_sum,ficha_points_sum,ficha_source_urls
151,2006,CAGUAS,27,468,https://web.archive.org/web/20070224021044id_/http://www.bsnpr.com:80/jug05.asp?r=00065,2026-09-10T02:10:29Z,"Criollos, Caguas 4/71 | Titanes, Morovis 23/397",27,468,https://web.archive.org/web/20140122195645id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=151&e=
193,2006,COAMO,20,364,https://web.archive.org/web/20061119230512id_/http://www.bsnpr.com/jug05.asp?r2=462736RX10&r3=00155&r=00026&e=COAMO,2026-09-10T01:59:01Z,"Atleticos, San German 8/142 | Maratonistas, Coamo 12/222",20,364,https://web.archive.org/web/20130612084140id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=193&e=14
284,2006,BAYAMON,25,446,https://web.archive.org/web/20061208064331id_/http://www.bsnpr.com:80/jug05.asp?r3=00107&r2=462706RWZV&r=00036&e=,2026-09-10T02:01:58Z,"Maratonistas, Coamo 21/392 | Vaqueros, Bayamon 4/54",25,446,https://web.archive.org/web/20180829212304id_/https://www.bsnpr.com/jugadores/jugador.asp?id=284&e
763,2006,PONCE,25,102,https://web.archive.org/web/20061206115502id_/http://www.bsnpr.com:80/jug05.asp?r3=00200&r2=462756RX22&r=00053&e=,2026-09-10T01:57:12Z,"Leones, Ponce 20/86 | Titanes, Morovis 5/16",25,102,https://web.archive.org/web/20090713002149id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=763&e=7
777,2006,HUMACAO,24,56,https://web.archive.org/web/20060618110655id_/http://www.bsnpr.com:80/jug05.asp?r=00020,2026-09-10T02:00:44Z,"Grises, Humacao 8/17 | Maratonistas, Coamo 16/39",24,56,https://web.archive.org/web/20080325084937id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=777&e=14
808,2006,COAMO,24,146,https://web.archive.org/web/20061006123158id_/http://www.bsnpr.com:80/jug05.asp?r3=FSWWD&r2=462776RX2V&r=00124&e=,2026-09-10T01:56:03Z,"Atleticos, San German 12/47 | Maratonistas, Coamo 12/99",24,146,https://web.archive.org/web/20091004045524id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=808&e=
870,2006,COAMO,14,43,https://web.archive.org/web/20061007174946id_/http://www.bsnpr.com:80/jug05.asp?r3=ETHFH&r2=OJZMQCXMNA&r=00512&e=,2026-09-10T02:02:24Z,"Criollos, Caguas 12/43 | Maratonistas, Coamo 2/0",14,43,https://web.archive.org/web/20130614021757id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=870&e=13
932,2006,SAN GERMAN,27,302,https://web.archive.org/web/20061206190209id_/http://www.bsnpr.com:80/jug05.asp?r3=00062&r2=462686RWYV&r=00066&e=,2026-09-10T02:04:09Z,"Atleticos, San German 14/166 | Maratonistas, Coamo 13/136",27,302,https://web.archive.org/web/20110717025736id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=932&e=2
985,2005,ISABELA,32,221,https://web.archive.org/web/20050929224515id_/http://www.bsnpr.com:80/jug05.asp?r2=462676RWYG&r=00040&e=BAYAMON,2026-09-10T01:49:57Z,"Gallitos, Isabela 10/87 | Maratonistas, Coamo 22/134",32,221,https://web.archive.org/web/20090110024201id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=985&e=
1284,2006,MOROVIS,12,72,https://web.archive.org/web/20061119231056id_/http://www.bsnpr.com/jug05.asp?r2=462696RWZ6&r3=00075&r=00559&e=MOROVIS,2026-09-10T01:54:51Z,"Cangrejeros, Santurce 5/5 | Titanes, Morovis 7/67",12,72,https://web.archive.org/web/20080411054818id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1284&e=
1462,2006,SAN GERMAN,9,9,https://web.archive.org/web/20061119230314id_/http://www.bsnpr.com/jug05.asp?r2=462676RWYH&r3=00041&r=00041&e=SAN%20GERMAN,2026-09-10T01:58:53Z,"Atleticos, San German 5/9 | Maratonistas, Coamo 4/0",9,9,https://web.archive.org/web/20070829035055id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1462&e=
1995,2006,CAGUAS,24,194,https://web.archive.org/web/20061119230912id_/http://www.bsnpr.com/jug05.asp?r2=462686RWYM&r3=00050&r=00024&e=CAGUAS,2026-09-10T02:08:19Z,"Criollos, Caguas 5/39 | Vaqueros, Bayamon 19/155",24,194,https://web.archive.org/web/20170715115934id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=1995&e=
2067,2006,COAMO,25,227,https://web.archive.org/web/20061119230520id_/http://www.bsnpr.com/jug05.asp?r2=462746RX1M&r3=CVJWU&r=00126&e=COAMO,2026-09-10T01:57:27Z,"Atleticos, San German 12/87 | Maratonistas, Coamo 13/140",25,227,https://web.archive.org/web/20140122195735id_/http://www.bsnpr.com:80/jugadores/jugador.asp?id=2067&e=
