jug05_name,jug05_birth_date,bsnpr_id,confidence,note
"Apodaca, Rick",1/7/1980,2028,high,"same person; canonical DOB 7/1/1980 is a M/D swap"
"Aubry, Jefrey",6/29/1977,1025,high,"Jefrey = Jeffrion Aubry; DOB exact"
"Ayuso, Larry",3/27/1977,574,high,"Elías «Larry» Ayuso; DOB exact"
"Babilonia, Luis",9/4/1987,881,high,"Hector Luis Babilonia goes by Luis; DOB exact"
"Brannen, Bobby",9/21/1975,251,high,"Bobby = Robert Brannen; only one Brannen"
"Brown, Sirvaliant",12/21/1980,2174,high,"«Sirvaliant» = Sir Valiant Brown; DOB exact"
"Bunn, Joseph",3/18/1975,1280,high,"Joseph Bunn; canonical DOB month typo"
"Carmona, Abel",1/11/1981,4,high,"Abel Carmona Andino"
"Davis, Nick",9/27/1976,1693,medium,"DOB exact + pos (Centro) + surname; ""Nick"" for Nathanael Davis Jackson"
"Delgado, Pablo",4/3/1983,1777,high,"Pablo Delgado Vargas (not 713 Francisco)"
"Falcon, Alex",11/20/1973,50,high,"Alex = Alexander Falcón; DOB exact"
"Gonzalez, Alberto",9/5/1986,36,medium,"Alberto Carlos González Vientos (not 1661 Miguel); no jug05 seasons"
"Guzman, Ansel",5/20/1984,158,high,"Ansel M Guzmán Hernaiz; canonical DOB month typo"
"Hatton, Bobby Joe",10/11/1976,2074,high,"Bobby Joe = Roberto José Hatton Negrón; DOB exact"
"Henderson, J.R.",10/30/1976,1675,medium,"DOB exact + pos + surname + era; canonical first name ""Milton"" likely wrong (this is J.R. Henderson)"
"Heywood, Jamel",3/19/1977,986,high,"Jamel = Jameel Heywood; DOB exact"
"Latson, Therone",3/19/1974,2201,high,"Therone = Therome Ray Latson (m/n); DOB exact"
"Lopez, Michael",3/28/1975,143,high,"Michael = Ángel Miguel López Ortiz (Michael/Miguel); DOB exact + pos"
"Malave, Shacun",1/7/1979,2164,high,"«Shacún» = Shacuntaino Malavé Cea; canonical DOB M/D swap"
"Malpica, Karin",8/24/1978,1385,high,"Karin = Karim Malpica Torres (n/m); DOB exact"
"Narvaez, Manuel",5/12/1981,1562,high,"Manuel = Manuel Antonio Narváez Rivera"
"Nieves, Roberto",1/20/1982,2067,high,"Roberto Nieves Pérez; canonical DOB close"
"Ortiz, Fernando",7/14/1977,697,high,"Fernando Ortiz Espada"
"Ortiz, Fernando",7/14/1967,review,low,"same seasons as the 1977 page = same Fernando Ortiz Espada with a bad DOB year; do NOT attach to 646 (Etienne). Its career already reaches 697."
"Rosa, Raijose",6/17/1982,1907,high,"Raijosé Rosa Rosario (not 1497 Luis)"
"Rosario, Eufemio",9/12/1982,647,high,"Eufemio Rosario López; canonical DOB M/D swap"
"Ruiz, Marcos",6/7/1983,1570,high,"Marcos A. Ruiz Rodríguez (not 772/959)"
"Santiago, Orlando",11/21/1975,1760,high,"Orlando Santiago Cordero; canonical DOB close"
"Tapia, Raymar",12/23/1982,1908,high,"Raymar = Raimar Tapia Oquendo; DOB exact"
"Vega, Orlando",6/6/1968,1759,high,"Orlando Vega Smith; canonical DOB 10 days off"
"Velez, Roudan",1/12/1988,2100,high,"Roudan = Rouldan Vélez Pérez; DOB exact"
"Victor, Isiah",7/6/1978,2390,high,"Isiah = Isaiah Victor White; DOB exact"
"Villegas, Sammy",3/7/1983,2145,high,"Sammy = Samuel Villegas Avilés; DOB exact"
"Western, Franklyn",4/16/1970,757,high,"Franklyn = Franklin Western Canales; canonical DOB close"
"Liriano, Aneury",,93,high,"Aneury = Aneuris Liriano Lugo (id 93, ficha 2003-08); jug05 2003-05 is a subset. Was minting 990004; jugador05 confirms the same bridge"
"Ortiz, Irving",,2261,high,"Irving = Víctor Irving Ortiz Espada (id 2261, ficha but no career); jug05 2003-04 career unions in. Was minting 990030; jugador05 confirms"
"Lopez, Frank",5/12/1985,review,low,"Frank vs Iván, position mismatch (Escolta vs Delantero), only one season — not merged"
