bsnpr_id,canonical_name,canonical_dob,jugador05_dob
4,"Carmona Andino, Abel",11/1/1981,1/11/1981
647,"Rosario Lopez, Eufemio",12/9/1982,9/12/1982
713,"Delgado Padro, Francisco",12/18/1983,12/12/1983
757,"Western Canales, Franklin",4/20/1970,4/16/1979
812,"Jimenez Brain, Giovanni",1/29/1982,1/30/1982
1562,"Narvaez Rivera, Manuel Antonio",12/18/1981,5/12/1981
1570,"Ruiz Rodriguez, Marcos A.",7/6/1983,6/7/1983
1759,"Vega Smith, Orlando",6/16/1968,6/6/1968
1760,"Santiago Cordero, Orlando",11/1/1975,11/21/1975
2016,"Lugo, Richard",5/7/1973,7/5/1973
2028,"Apodaca Perez, Rick",7/1/1980,1/7/1980
