franchise_id,season,season_source,template,completeness,name_raw,name_order,birth_year_2digit,age,approx_birth_year,tier,candidate_ids,candidate_names,already_has_season_row,note,disposition,disposition_note
piratas_quebradillas,2015,capture_year,widget,full,Angelo Reyes,given_first,,34,1981,2_approx_birth_confirmed,151,"Reyes Canales, Angelo",no,"exact_name, birth year agrees (source ~1981, canon 1981, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2015,capture_year,widget,full,Ansel Guzman,given_first,,31,1984,2_approx_birth_confirmed,158,"Guzman Hernaiz, Ansel M",yes,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2015,capture_year,widget,full,Eniel Polynice,given_first,,27,1988,2_approx_birth_confirmed,12940,"Polynice, Eniel",no,"exact_name, birth year agrees (source ~1988, canon 1988, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2015,capture_year,widget,full,Malcolm Thomas,given_first,,27,1988,2_approx_birth_confirmed,13003,"Thomas, Malcolm",no,"exact_name, birth year agrees (source ~1988, canon 1988, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2015,capture_year,widget,full,Orin O'Bryant,given_first,,28,1987,2_approx_birth_confirmed,2913,"O'Bryant, O",yes,"exact_name, birth year agrees (source ~1987, canon 1987, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, alias-table fix: approx-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
piratas_quebradillas,2015,capture_year,widget,full,Paul Graham,given_first,,30,1985,2_approx_birth_confirmed,2555,"Graham Gonzales, Paul",yes,"exact_name, birth year agrees (source ~1985, canon 1985, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2015,capture_year,widget,full,Ron Howard,given_first,,33,1982,2_approx_birth_confirmed,12984,"Howard, Ron",no,"exact_name, birth year agrees (source ~1982, canon 1982, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2015,capture_year,widget,full,Tyler Wilkerson,given_first,,27,1988,2_approx_birth_confirmed,2881,"Wilkerson, Tyler",yes,"exact_name, birth year agrees (source ~1988, canon 1988, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2015,capture_year,widget,full,William Orozco,given_first,,30,1985,2_approx_birth_confirmed,2309,"Orozco Santiago, William",yes,"exact_name, birth year agrees (source ~1985, canon 1985, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Angel Garcia,given_first,,28,1988,2_approx_birth_confirmed,2857,"Garcia Garcia, Angel L.",yes,"exact_name, birth year agrees (source ~1988, canon 1988, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, alias-table fix: approx-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
piratas_quebradillas,2016,capture_year,widget,partial,Brian Rosario,given_first,,20,1996,2_approx_birth_confirmed,13078,"Rosario Nieves, Brian A.",yes,"exact_name, birth year agrees (source ~1996, canon 1996, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Carmelo Lee,given_first,,39,1977,2_approx_birth_confirmed,349,"Lee, Carmelo Antrone",no,"exact_name, birth year agrees (source ~1977, canon 1977, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Elias Ayuso,given_first,,39,1977,2_approx_birth_confirmed,574,"Ayuso Carrillo, Elias",yes,"exact_name, birth year agrees (source ~1977, canon 1977, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Ernesto Rodriguez,given_first,,25,1991,2_approx_birth_confirmed,12962,"Rodriguez Mendez, Ernesto",yes,"exact_name, birth year agrees (source ~1991, canon 1990, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,partial,Jared Ruiz,given_first,,23,1993,2_approx_birth_confirmed,12942,"Ruiz Melendez, Jared",yes,"exact_name, birth year agrees (source ~1993, canon 1992, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Jordan Glynn,given_first,,27,1989,2_approx_birth_confirmed,12988,"Glynn Ramírez, Jordan",no,"exact_name, birth year agrees (source ~1989, canon 1989, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Jorge Bryan Diaz,given_first,,26,1990,2_approx_birth_confirmed,2780,"Diaz Hernandez, Jorge Bryan",yes,"exact_name, birth year agrees (source ~1990, canon 1989, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, alias-table fix: approx-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
piratas_quebradillas,2016,capture_year,widget,full,Kevin Lisch,given_first,,30,1986,2_approx_birth_confirmed,2781,"Lisch, Kevin",no,"exact_name, birth year agrees (source ~1986, canon 1986, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Richard Chaney,given_first,,32,1984,2_approx_birth_confirmed,2664,"Chaney, Richard",yes,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,partial,Robert Vega,given_first,,22,1994,2_approx_birth_confirmed,2914,"Vega, Robert",no,"exact_name, birth year agrees (source ~1994, canon 1994, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2016,capture_year,widget,full,Yudniel Perez,given_first,,32,1984,2_approx_birth_confirmed,13077,"Perez Arango, Yudniel",yes,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Angel Rosa-Clemente,given_first,,33,1984,2_approx_birth_confirmed,148,"Rosa Clemente, Angel R.",yes,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Brian Rosario,given_first,,21,1996,2_approx_birth_confirmed,13078,"Rosario Nieves, Brian A.",yes,"exact_name, birth year agrees (source ~1996, canon 1996, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Ernesto Rodriguez,given_first,,26,1991,2_approx_birth_confirmed,12962,"Rodriguez Mendez, Ernesto",yes,"exact_name, birth year agrees (source ~1991, canon 1990, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Giovanni Jimenez,given_first,,35,1982,2_approx_birth_confirmed,812,"Jimenez Brain, Giovanni",yes,"exact_name, birth year agrees (source ~1982, canon 1982, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Javier Mojica,given_first,,33,1984,2_approx_birth_confirmed,2355,"Mojica Izquierdo, Javier",yes,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Joel Gierbolini,given_first,,27,1990,2_approx_birth_confirmed,2858,"Gierbolini, Joel",yes,"exact_name, birth year agrees (source ~1990, canon 1989, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Jonathan Garcia,given_first,,29,1988,2_approx_birth_confirmed,1094,"Garcia Bermudez, Jonathan",yes,"exact_name, birth year agrees (source ~1988, canon 1987, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2017,capture_year,flat_age,full,Richard Chaney,given_first,,33,1984,2_approx_birth_confirmed,2664,"Chaney, Richard",yes,"exact_name, birth year agrees (source ~1984, canon 1984, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2018,capture_year,widget,full,Alejandro Carmona,given_first,,35,1983,2_approx_birth_confirmed,37,"Carmona Sanchez, Alejandro",no,"exact_name, birth year agrees (source ~1983, canon 1983, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2018,capture_year,widget,partial,Angel Alamo,given_first,,33,1985,2_approx_birth_confirmed,2476,"Alamo Lopez, Angel",no,"exact_name, birth year agrees (source ~1985, canon 1985, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2018,capture_year,widget,full,Ernesto Rodriguez,given_first,,27,1991,2_approx_birth_confirmed,12962,"Rodriguez Mendez, Ernesto",no,"exact_name, birth year agrees (source ~1991, canon 1990, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2018,capture_year,widget,full,Jonathan Garcia,given_first,,30,1988,2_approx_birth_confirmed,1094,"Garcia Bermudez, Jonathan",no,"exact_name, birth year agrees (source ~1988, canon 1987, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, approx-birth-year tier, single agreeing candidate"
piratas_quebradillas,2018,capture_year,widget,full,Jorge Bryan Diaz,given_first,,28,1990,2_approx_birth_confirmed,2780,"Diaz Hernandez, Jorge Bryan",no,"exact_name, birth year agrees (source ~1990, canon 1989, age-derived +/-1)",confirmed_match,"owner accepted 2026-09-14, alias-table fix: approx-birth-year tier via a real alias (nickname/spelling variant/dropped maternal surname) in player_aliases.csv, single agreeing candidate. Bulk-approved as a verified pattern, not re-litigated row by row."
